
DESKTOP-ABBBSF5

"Computer Name:","DESKTOP-ABBBSF5"
"Processor Context ID","Present"
"Direct Cache Access","Not Present"
"TSC-deadline Timer","Present"
"Performance/Debug Capability MSR","Present"
"IA32 Debug Interface Support","Present"
"64-Bit Debug Store","Present"
"CPL Qualified Debug Store","Present"
"64-bit Extensions","Present"
"RDTSCP and TSC_AUX Support","Present"
"1 GB large page support","Present"
"No Execute","Present"
"SYSCALL/SYSRET Support","Present"
"Bit Manipulation Instructions Set 1","Present"
"Bit Manipulation Instructions Set 2","Present"
"Advanced Vector Extensions 2 (AVX2)","Present"
"Advanced Vector Extensions 512 (AVX-512)","Not Present"
"AVX-512 Prefetch Instructions","Not Present"
"AVX-512 Exponential and Reciprocal Instructions","Not Present"
"AVX-512 Conflict Detection Instructions","Not Present"
"AVX-512 Doubleword and Quadword Instructions","Not Present"
"AVX-512 Byte and Word Instructions","Not Present"
"AVX-512 Vector Length Extensions","Not Present"
"AVX-512 52-bit Integer FMA Instructions","Not Present"
"Secure Hash Algorithm (SHA) Extensions","Not Present"
"Software Guard Extensions (SGX) Support","Present"
"Supervisor Mode Execution Protection (SMEP)","Present"
"Supervisor Mode Access Prevention (SMAP)","Present"
"Hardware Lock Elision (HLE)","Not Present"
"Restricted Transactional Memory (RTM)","Not Present"
"Memory Protection Extensions (MPX)","Present"
"Read/Write FS/GS Base Instructions","Present"
"Enhanced Performance String Instruction","Present"
"INVPCID Instruction","Present"
"RDSEED Instruction","Present"
"Multi-precision Add Carry Instructions (ADX)","Present"
"PCOMMIT Instructions","Not Present"
"CLFLUSHOPT Instructions","Present"
"CLWB Instructions","Not Present"
"TSC_THREAD_OFFSET","Present"
"Platform Quality of Service Monitoring (PQM)","Not Present"
"Platform Quality of Service Enforcement (PQE)","Not Present"
"FPU Data Pointer updated only on x87 Exceptions","Not Present"
"Deprecated FPU CS and FPU DS","Present"
"Intel Processor Trace","Present"
"PREFETCHWT1 Instruction","Not Present"
"AVX-512 Vector Bit Manipulation Instructions","Not Present"
"AVX-512 Vector Bit Manipulation Instructions 2","Not Present"
"AVX-512 Galois Fields New Instructions","Not Present"
"AVX-512 Vector AES","Not Present"
"AVX-512 Vector Neural Network Instructions","Not Present"
"AVX-512 Bit Algorithms","Not Present"
"AVX-512 Carry-Less Multiplication Quadword (VPCLMULQDQ)","Not Present"
"AVX-512 Vector POPCNT (VPOPCNTD/VPOPCNTQ)","Not Present"
"User-Mode Instruction Prevention","Not Present"
"Protection Keys for User-mode Pages","Not Present"
"OS Enabled Protection Keys","Not Present"
"Wait and Pause Enhancements (WAITPKG)","Not Present"
"Total Memory Encryption","Not Present"
"Read Processor ID","Not Present"
"Cache Line Demote","Not Present"
"MOVDIRI: Direct Stores","Not Present"
"MOVDIR64B: Direct Stores","Not Present"
"ENQCMD: Enqueue Stores","Not Present"
"SGX Launch Configuration","Not Present"
"AVX-512 BFLOAT16 Instructions","Not Present"
"Thermal Monitor 1:","Supported, Enabled"
"Thermal Monitor 2:","Supported, Enabled"
"Enhanced Intel SpeedStep (GV3):","Supported, Enabled"
"Bi-directional PROCHOT#:","Enabled"
"Extended Auto-HALT State C1E:","Enabled"
"MLC Streamer Prefetcher","Supported, Enabled"
"MLC Spatial Prefetcher","Supported, Enabled"
"DCU Streamer Prefetcher","Supported, Enabled"
"DCU IP Prefetcher","Supported, Enabled"
"Intel Dynamic Acceleration (IDA) Technology:","Not Supported"
"Intel Dynamic FSB Switching:","Not Supported"
"Intel Turbo Boost Technology:","Supported, Enabled"
"Programmable Ratio Limits:","Supported, Disabled"
"Programmable TDC/TDP Limits:","Supported, Disabled"
"Hardware Duty Cycling:","Supported, Enabled"
"Display HD Audio:","Supported"
"DMI x4:","Supported"
"DRAM ECC:","Not Supported"
"VT-d:","Supported"
"DMI in Gen2 Mode:","Not Supported"
"PEG in Gen2 Mode:","Not Supported"
"1N Mode DDR Timings:","Supported"
"Camarillo Device:","Supported"
"2 DIMMs per Channel:","Not Supported"
"X2APIC:","Supported"
"Dual Memory Channel:","Supported"
"Integrated GPU:","Enabled"
"DDR Overclocking:","Disabled"
"Overclocking by DSKU:","Disabled"
"DDR3L:","Supported"
"Maximum Memory Size per Channel:","64 GB (unlimited)"
"Overclocking:","Disabled"
"SMT:","Supported"
"Additive Graphics:","Supported"
"Additive Graphics:","Enabled"
"PCIe Gen 3:","Not Supported"
"DMI Gen 3:","Not Supported"
"HDCP:","Supported"
"DDR4:","Supported"
"LPDDR3:","Supported"
"BCLK OC Limit:","100 MHz"
"Maximum Supported LPDDR3 Frequency:","1067 MHz"
"Maximum Supported DDR4 Frequency:","1200 MHz"
"SVID Status:","Enabled"
"VCC VR:","Intersil (0x57), IMVP8"
"VR Thermal Sensor:","Not Supported"
"Maximum Physical Address Size:","39-bit (512 GBytes)"
"Maximum Virtual Address Size:","48-bit (256 TBytes)"
"Range C0000000-100000000 (3072MB-4096MB) Type:","Uncacheable (UC)"
"Range A0000000-C0000000 (2560MB-3072MB) Type:","Uncacheable (UC)"
"Range 90000000-A0000000 (2304MB-2560MB) Type:","Uncacheable (UC)"
"Range 8C000000-90000000 (2240MB-2304MB) Type:","Uncacheable (UC)"
"Range 8A000000-8C000000 (2208MB-2240MB) Type:","Uncacheable (UC)"
"Range 89000000-8A000000 (2192MB-2208MB) Type:","Uncacheable (UC)"
"Range 88800000-89000000 (2184MB-2192MB) Type:","Uncacheable (UC)"

Motherboard

"Computer Brand Name:","HP HP ENVY x360 Convertible 15-cn0xxx"
"Motherboard Model:","HP 8484"
"Motherboard Chipset:","Intel Kaby Lake-U + iHDCP 2.2 Premium PCH"
"Motherboard Slots:","4xPCI Express x1, 2xPCI Express x4"
"PCI Express Version Supported:","v3.0"
"USB Version Supported:","v3.0"
"BIOS Manufacturer:","Insyde"
"BIOS Date:","05/02/2019"
"BIOS Version:","F.23"
"UEFI BIOS:","Capable"
"Super-IO/LPC Chip:","Unknown"

ACPI Devices


ELAN EzTouchFilter

"Device Name:","ELAN EzTouchFilter"
"IRQ:","1024"

HP Mobile Data Protection Sensor

"Device Name:","HP Mobile Data Protection Sensor"
"IRQ:","81"
"IRQ:","81"

Standard PS/2 Keyboard

"Device Name:","Standard PS/2 Keyboard"
"I/O Port:","0060"
"I/O Port:","0000"
"I/O Port:","0060"
"I/O Port:","0064"
"IRQ:","1"

Legacy device

"Device Name:","Legacy device"
"Memory Location:","FF000000 - FFFFFFFF"
"Memory Location:","FF000000 - FFFFFFFF"

Intel(R) Software Guard Extensions Device

"Device Name:","Intel(R) Software Guard Extensions Device"
"Memory Location:","80200000 - 85F7FFFF"
"Memory Location:","80200000 - 85F7FFFF"

Intel(R) Serial IO GPIO Host Controller - INT344B

"Device Name:","Intel(R) Serial IO GPIO Host Controller - INT344B"
"Memory Location:","FDAF0000 - FDAFFFFF"
"Memory Location:","FDAF0000 - FDAFFFFF"
"Memory Location:","FDAE0000 - FDAEFFFF"
"Memory Location:","FDAC0000 - FDACFFFF"
"IRQ:","14"

Motherboard resources

"Device Name:","Motherboard resources"
"I/O Port:","1854 - 1857"
"I/O Port:","1854 - 1857"

Trusted Platform Module 2.0

"Device Name:","Trusted Platform Module 2.0"
"Memory Location:","FED40000 - FED40FFF"
"Memory Location:","FED40000 - FED40FFF"

Programmable interrupt controller

"Device Name:","Programmable interrupt controller"
"I/O Port:","0020 - 0021"
"I/O Port:","0030 - 0031"
"I/O Port:","00A0 - 00A1"
"I/O Port:","00B0 - 00B1"
"IRQ:","1114369"
"IRQ:","1114369"
"IRQ:","1114369"
"IRQ:","1114369"
"I/O Port:","0020 - 0021"
"I/O Port:","0024 - 0025"
"I/O Port:","0028 - 0029"
"I/O Port:","002C - 002D"
"I/O Port:","0030 - 0031"
"I/O Port:","0034 - 0035"
"I/O Port:","0038 - 0039"
"I/O Port:","003C - 003D"
"I/O Port:","00A0 - 00A1"
"I/O Port:","00A4 - 00A5"
"I/O Port:","00A8 - 00A9"
"I/O Port:","00AC - 00AD"
"I/O Port:","00B0 - 00B1"
"I/O Port:","00B4 - 00B5"
"I/O Port:","00B8 - 00B9"
"I/O Port:","00BC - 00BD"
"I/O Port:","04D0 - 04D1"

System timer

"Device Name:","System timer"
"I/O Port:","0040 - 0043"
"DMA:","0"
"I/O Port:","0040 - 0043"
"I/O Port:","0050 - 0053"
"IRQ:","0"

High precision event timer

"Device Name:","High precision event timer"
"Memory Location:","FED00000 - FED003FF"
"Memory Location:","FED00000 - FED003FF"

PCI Express Root Complex

"Device Name:","PCI Express Root Complex"
"I/O Port:","0000 - FFFFFFFF"
"Memory Location:","000A0000 - 000BFFFF"
"Memory Location:","000C4000 - 000C3FFF"
"Memory Location:","000CC000 - 000CFFFF"
"Memory Location:","000D4000 - 000D3FFF"
"Memory Location:","000DC000 - 000DFFFF"
"Memory Location:","000E4000 - 000E3FFF"
"Memory Location:","000EC000 - 000EFFFF"
"I/O Port:","0000 - 0CF7"
"I/O Port:","0D00 - FFFF"
"Memory Location:","000A0000 - 000BFFFF"
"Memory Location:","000C0000 - 000C3FFF"
"Memory Location:","000C4000 - 000C7FFF"
"Memory Location:","000C8000 - 000CBFFF"
"Memory Location:","000CC000 - 000CFFFF"
"Memory Location:","000D0000 - 000D3FFF"
"Memory Location:","000D4000 - 000D7FFF"
"Memory Location:","000D8000 - 000DBFFF"
"Memory Location:","000DC000 - 000DFFFF"
"Memory Location:","000E0000 - 000E3FFF"
"Memory Location:","000E4000 - 000E7FFF"
"Memory Location:","000E8000 - 000EBFFF"
"Memory Location:","000EC000 - 000EFFFF"
"Memory Location:","000F0000 - 000FFFFF"
"Memory Location:","8D000000 - DFFFFFFF"
"Memory Location:","FD000000 - FE7FFFFF"
"Memory Location:","FE800000 - FE80FFFF"

System CMOS/real time clock

"Device Name:","System CMOS/real time clock"
"I/O Port:","0070 - 0077"
"I/O Port:","0070 - 0077"
"IRQ:","8"

Motherboard resources

"Device Name:","Motherboard resources"
"Memory Location:","FED10000 - FED17FFF"
"Memory Location:","FED20000 - FED3FFFF"
"Memory Location:","FED10000 - FED17FFF"
"Memory Location:","FED18000 - FED18FFF"
"Memory Location:","FED19000 - FED19FFF"
"Memory Location:","E0000000 - EFFFFFFF"
"Memory Location:","FED20000 - FED3FFFF"
"Memory Location:","FED90000 - FED93FFF"
"Memory Location:","FED45000 - FED8FFFF"
"Memory Location:","FF000000 - FFFFFFFF"
"Memory Location:","FEE00000 - FEEFFFFF"
"Memory Location:","8D000000 - 8D01FFFF"

Motherboard resources

"Device Name:","Motherboard resources"
"I/O Port:","002E - 002F"
"I/O Port:","0065"
"I/O Port:","0000 - 006F"
"I/O Port:","0092"
"I/O Port:","FFFF"
"IRQ:","1114369"
"IRQ:","1114369"
"I/O Port:","002E - 002F"
"I/O Port:","004E - 004F"
"I/O Port:","0061"
"I/O Port:","0063"
"I/O Port:","0065"
"I/O Port:","0067"
"I/O Port:","0070"
"I/O Port:","0080"
"I/O Port:","0092"
"I/O Port:","00B2 - 00B3"
"I/O Port:","0680 - 069F"
"I/O Port:","FFFF"
"I/O Port:","FFFF"
"I/O Port:","FFFF"
"I/O Port:","1800 - 18FE"
"I/O Port:","164E - 164F"

Motherboard resources

"Device Name:","Motherboard resources"
"Memory Location:","FE029000 - FE029FFF"
"Memory Location:","FE029000 - FE029FFF"
"Memory Location:","FE028000 - FE028FFF"

Motherboard resources

"Device Name:","Motherboard resources"
"I/O Port:","2000 - 20FE"
"I/O Port:","2000 - 20FE"

Motherboard resources

"Device Name:","Motherboard resources"
"Memory Location:","FD000000 - FDABFFFF"
"Memory Location:","FE036000 - FE03BFFF"
"Memory Location:","FD000000 - FDABFFFF"
"Memory Location:","FDAD0000 - FDADFFFF"
"Memory Location:","FDB00000 - FDFFFFFF"
"Memory Location:","FE000000 - FE01FFFF"
"Memory Location:","FE036000 - FE03BFFF"
"Memory Location:","FE03D000 - FE3FFFFF"
"Memory Location:","FE410000 - FE7FFFFF"

Microsoft ACPI-Compliant Embedded Controller

"Device Name:","Microsoft ACPI-Compliant Embedded Controller"
"I/O Port:","0062"
"I/O Port:","0000 - 0067"
"I/O Port:","0062"
"I/O Port:","0066"
"I/O Port:","0068 - 006F"
"Memory Location:","FE800000 - FE80FFFF"

Synaptics SMBus ClickPad

"Device Name:","Synaptics SMBus ClickPad"
"IRQ:","12"
"IRQ:","12"

Synaptics WBDI Fingerprint Reader - SPI 093

"Device Name:","Synaptics WBDI Fingerprint Reader - SPI 093"
"IRQ:","1025"

UCM-UCSI ACPI Device

"Device Name:","UCM-UCSI ACPI Device"
"Memory Location:","7F7D1000 - 7F7D1FFF"
"Memory Location:","7F7D1000 - 7F7D1FFF"

SMBIOS DMI


BIOS

"BIOS Vendor:","Insyde"
"BIOS Version:","F.23"
"BIOS Release Date:","05/02/2019"
"BIOS Start Segment:","E000"
"BIOS Size:","9216 KBytes"
"System BIOS Version:","15.23"
"Embedded Controller Firmware Version:","70.31"
"ISA Support:","Not Present"
"MCA Support:","Not Present"
"EISA Support:","Not Present"
"PCI Support:","Present"
"PC Card (PCMCIA) Support:","Not Present"
"Plug-and-Play Support:","Not Present"
"APM Support:","Not Present"
"Flash BIOS:","Present"
"BIOS Shadow:","Present"
"VL-VESA Support:","Not Present"
"ESCD Support:","Not Present"
"Boot from CD:","Present"
"Selectable Boot:","Present"
"BIOS ROM Socketed:","Not Present"
"Boot from PC Card:","Not Present"
"EDD Support:","Present"
"NEC PC-98 Support:","Not Present"
"ACPI Support:","Present"
"USB Legacy Support:","Present"
"AGP Support:","Not Present"
"I2O Boot Support:","Not Present"
"LS-120 Boot Support:","Not Present"
"ATAPI ZIP Drive Boot Support:","Not Present"
"IEE1394 Boot Support:","Not Present"
"Smart Battery Support:","Not Present"
"BIOS Boot Specification Support:","Present"
"Function key-initiated Network Service Boot Support:","Not Present"
"Targeted Content Distribution Support:","Present"
"UEFI Specification Support:","Present"
"Virtual Machine:","Not Present"

System

"System Manufacturer:","HP"
"Product Name:","HP ENVY x360 Convertible 15-cn0xxx"
"Product Version:","Type1ProductConfigId"
"Product Serial Number:","8CG83621H8"
"UUID:","{BA1AE5A5-B137-11E8-9C8A-2016B9CDB251}"
"SKU Number:","4TX40EA#ABU"
"Family:","103C_5335KV HP Envy"

Mainboard

"Mainboard Manufacturer:","HP"
"Mainboard Name:","8484"
"Mainboard Version:","70.31"
"Mainboard Serial Number:","PHJAAAAK9B904N"
"Asset Tag:","Type2 - Board Asset Tag"
"Location in chassis:","Type2 - Board Chassis Location"

System Enclosure

"Manufacturer:","HP"
"Case Type:","Convertible"
"Version:","Chassis Version"
"Serial Number:","Chassis Serial Number"
"Asset Tag Number:","Chassis Asset Tag"

Processor

"Processor Manufacturer:","Intel(R) Corporation"
"Processor Version:","Intel(R) Core(TM) i7-8550U CPU @ 1.80GHz"
"External Clock:","100 MHz"
"Maximum Clock Supported:","8300 MHz"
"Current Clock:","1700 MHz"
"CPU Socket:","Populated"
"CPU Status:","Enabled"
"Processor Type:","Central Processor"
"Processor Voltage:","0.7 V"
"Processor Upgrade:","Socket BGA1356"
"Socket Designation:","U3E1"

L1 Cache

"Socket Designation:","L1 Cache"
"Cache State:","Enabled"
"Cache Location:","Internal"
"Cache Type:","L1 Unified"
"Cache Scheme:","Write-Back"
"Supported SRAM Type:","Synchronous"
"Current SRAM Type:","Synchronous"
"Cache Speed:","Unknown"
"Error Correction Type:","Parity"
"Maximum Cache Size:","256 KBytes"
"Installed Cache Size:","256 KBytes"
"Cache Associativity:","8-way Set-Associative"

L2 Cache

"Socket Designation:","L2 Cache"
"Cache State:","Enabled"
"Cache Location:","Internal"
"Cache Type:","L2 Unified"
"Cache Scheme:","Write-Back"
"Supported SRAM Type:","Synchronous"
"Current SRAM Type:","Synchronous"
"Cache Speed:","Unknown"
"Error Correction Type:","Single-bit ECC"
"Maximum Cache Size:","1024 KBytes"
"Installed Cache Size:","1024 KBytes"
"Cache Associativity:","4-way Set-Associative"

L3 Cache

"Socket Designation:","L3 Cache"
"Cache State:","Enabled"
"Cache Location:","Internal"
"Cache Type:","L3 Unified"
"Cache Scheme:","Write-Back"
"Supported SRAM Type:","Synchronous"
"Current SRAM Type:","Synchronous"
"Cache Speed:","Unknown"
"Error Correction Type:","Multi-bit ECC"
"Maximum Cache Size:","8192 KBytes"
"Installed Cache Size:","8192 KBytes"
"Cache Associativity:","16-way Set-Associative"

OEM Strings











System Configuration Options










BIOS Language







Group Associations


Group Associations


Group Associations


System Event Log


Built-in Pointing Device

"Device Type:","Touch Pad"
"Interface Type:","PS/2"
"Number of Buttons:","4"

Portable Battery

"Battery Location:","Primary"
"Battery Manufacturer:","333-1B-35-A"
"Manufacture Date:","ManufDate"
"Serial Number:","DummySerialNumber"
"Device Name:","LK03052XL"
"Device Chemistry:","Unknown"
"Design Capacity:","52552 mWh"
"Design Voltage:","11550 mV"
"SBDS Verison Number:","1"
"Max. Error in Battery Data:","1"
"SBDS Serial Number:","953"
"SBDS Manufacture Date:","7/17/34"
"SBDS Device Chemistry:","LION"

Hardware Security

"Power-on Password:","Not implemented"
"Keyboard Password:","Not implemented"
"Administrator Password:","Disabled"
"Front Panel Reset:","Not implemented"

Voltage Probe

"Description:","Voltage Probe Description"
"Location:","Unknown"
"Status:","Unknown"
"Maximum Value:","Unknown"
"Minimum Value:","Unknown"
"Resolution:","Unknown"
"Tolerance:","Unknown"
"Accuracy:","Unknown"

Cooling Device

"Type:","Fan"
"Description:","Cooling Device Description"
"Status:","OK"
"Nominal Speed:","8192 RPM"

Temperature Probe

"Description:","Temperature Probe Description"
"Location:","Unknown"
"Status:","Unknown"
"Maximum Value:","Unknown"
"Minimum Value:","Unknown"
"Resolution:","Unknown"
"Tolerance:","Unknown"
"Accuracy:","Unknown"

System Boot Information

"Boot Status:","No error occured"

System Power Supply

"Location:","OEM Define 0"
"Device Name:","OEM Define 1"
"Manufacturer:","OEM Define 2"
"Serial Number:","OEM Define 3"
"Asset Tag Number:","OEM Define 4"
"Model Part Number:","OEM Define 5"
"Revision Level:","OEM Define 6"
"Max Power Capacity:","75 mW"
"Power Supply Status:","Not Present"
"Power Supply Type:","Regulator"
"Power Status:","OK"
"Hot replaceable:","No"
"Unplugged from wall:","Yes"

Additional Information




On Board Device

"Device Description:","IGD"
"Device Type:","Video Adapter"
"Device Status:","Disabled"

On Board Device

"Device Description:","WLAN"
"Device Type:","Unknown"
"Device Status:","Enabled"

Intel ASF

"Intel ASF Status:","Enabled"

Intel AMT

"Intel AMT Support:","Supported"
"Intel AMT Status:","Enabled"
"IDE-R Status:","Enabled"
"SOL Status:","Enabled"
"Network Interface:","Enabled"

Intel vPro

"CPU VT-x Support:","Supported"
"CPU VT-x Status:","Disabled"
"CPU VT-x2 Support:","Not Supported"
"CPU VT-x2 Status:","Disabled"
"CPU TXT Support:","Not Supported"
"CPU TXT Status:","Disabled"
"CPU VMX Status:","Disabled"
"CPU SMX Status:","Disabled"
"Intel ME Status:","Enabled"
"Intel OST Firmware Support:","Not Supported"
"Intel ASF Firmware Support:","Not Supported"
"Intel AMT Pro Firmware Support:","Not Supported"
"Intel AMT Basic Firmware Support:","Not Supported"
"Intel TPM Firmware Support:","Not Supported"
"Intel Castle Peak Support:","Not Supported"
"Intel WoX Support:","Not Supported"
"Intel Virtualization Engine Support:","Not Supported"
"Intel Anti-Theft Technology Support:","Not Supported"
"TPM On-board:","Not Supported"
"Intel Anti-Theft Technology Enrolled:","Not Supported"
"Intel ME Version:","v11.8, Build 3590, Hotfix 65"
"BIOS VT-x Support:","Not Supported"
"BIOS VT-d Support:","Supported"
"BIOS TXT Support:","Supported"
"BIOS TPM Support:","Not Supported"
"BIOS ME Support:","Not Supported"
"BIOS VA Extensions Support:","Supported"
"Intel AT PBA For Recovery Support:","Not Supported"
"Intel AT WWAN Support:","Not Supported"

Memory Devices


Physical Memory Array

"Array Location:","System board"
"Array Use:","System memory"
"Error Detecting Method:","None"
"Memory Capacity:","32 GBytes"
"Memory Devices:","2"

Memory Device

"Total Width:","64 bits"
"Data Width:","64 bits"
"Device Size:","8192 MBytes"
"Device Form Factor:","SODIMM"
"Device Locator:","Bottom - Slot 1 (left)"
"Bank Locator:","BANK 0"
"Device Type:","DDR4"
"Device Type Detail:","Synchronous"
"Memory Speed:","2400 MHz"
"Manufacturer:","AData"
"Serial Number:","BC780400"
"Part Number:","AO1P24HC8T1-BPGS    "
"Asset Tag:","9876543210"

Memory Device

"Total Width:","64 bits"
"Data Width:","64 bits"
"Device Size:","8192 MBytes"
"Device Form Factor:","SODIMM"
"Device Locator:","Bottom - Slot 2 (right)"
"Bank Locator:","BANK 2"
"Device Type:","DDR4"
"Device Type Detail:","Synchronous"
"Memory Speed:","2400 MHz"
"Manufacturer:","AData"
"Serial Number:","A6790400"
"Part Number:","AO1P24HC8T1-BPGS    "
"Asset Tag:","9876543210"

Memory Array Mapped Address

"Starting Address:","00000000"
"Ending Address:","00FFFFFF"
"Partition Width:","2"

Memory Device Mapped Address

"Starting Address:","00000000"
"Ending Address:","007FFFFF"
"Partition Row Position:","1"
"Interleave Position:","1"
"Interleave Data Depth:","1"

Memory Device Mapped Address

"Starting Address:","00000000"
"Ending Address:","007FFFFF"
"Partition Row Position:","1"
"Interleave Position:","2"
"Interleave Data Depth:","1"

Port Connectors


Keyboard Port

"Port Type:","Keyboard Port"
"Internal Reference:","J1A1"
"Internal Connector Type:","None"
"External Reference:","Keyboard"
"External Connector Type:","PS/2"

Mouse Port

"Port Type:","Mouse Port"
"Internal Reference:","J1A1"
"Internal Connector Type:","None"
"External Reference:","Mouse"
