
LAPTOP-U5PI9T6R

"Computer Name:","LAPTOP-U5PI9T6R"
"Fused Ratio Limit:","N/A"
"OC Ratio Limit:","N/A"
"Voltage Mode:","Interpolative"
"Voltage Offset:","0 mV"
"IccMax:","11.00 A"
"IA Domain Loadline (AC/DC):","1.800 / 1.800 mOhm"
"GT Domain Loadline (AC/DC):","2.700 / 2.700 mOhm"
"L1 Cache:","Instruction: 6 x 32 KBytes, Data: 6 x 32 KBytes"
"L2 Cache:","Integrated: 6 x 256 KBytes"
"L3 Cache:","12 MBytes"
"Instruction TLB:","2MB/4MB Pages, Fully associative, 8 entries"
"Data TLB:","4 KB Pages, 4-way set associative, 64 entries"
"FPU on Chip","Present"
"Enhanced Virtual-86 Mode","Present"
"I/O Breakpoints","Present"
"Page Size Extensions","Present"
"Time Stamp Counter","Present"
"Pentium-style Model Specific Registers","Present"
"Physical Address Extension","Present"
"Machine Check Exception","Present"
"CMPXCHG8B Instruction","Present"
"APIC On Chip / PGE (AMD)","Present"
"Fast System Call","Present"
"Memory Type Range Registers","Present"
"Page Global Feature","Present"
"Machine Check Architecture","Present"
"CMOV Instruction","Present"
"Page Attribute Table","Present"
"36-bit Page Size Extensions","Present"
"Processor Number","Not Present"
"CLFLUSH Instruction","Present"
"Debug Trace and EMON Store","Present"
"Internal ACPI Support","Present"
"MMX Technology","Present"
"Fast FP Save/Restore (IA MMX-2)","Present"
"Streaming SIMD Extensions","Present"
"Streaming SIMD Extensions 2","Present"
"Self-Snoop","Present"
"Multi-Threading Capable","Present"
"Automatic Clock Control","Present"
"IA-64 Processor","Not Present"
"Signal Break on FERR","Present"
"Virtual Machine Extensions (VMX)","Present"
"Safer Mode Extensions (Intel TXT)","Not Present"
"Streaming SIMD Extensions 3","Present"
"Supplemental Streaming SIMD Extensions 3","Present"
"Streaming SIMD Extensions 4.1","Present"
"Streaming SIMD Extensions 4.2","Present"
"AVX Support","Present"
"Fused Multiply Add (FMA)","Present"
"Carryless Multiplication (PCLMULQDQ)/GFMUL","Present"
"CMPXCHG16B Support","Present"
"MOVBE Instruction","Present"
"POPCNT Instruction","Present"
"XSAVE/XRSTOR/XSETBV/XGETBV Instructions","Present"
"XGETBV/XSETBV OS Enabled","Present"
"Float16 Instructions","Present"
"AES Cryptography Support","Present"
"Random Number Read Instruction (RDRAND)","Present"
"Extended xAPIC","Present"
"MONITOR/MWAIT Support","Present"
"Thermal Monitor 2","Present"
"Enhanced SpeedStep Technology","Present"
"L1 Context ID","Not Present"
"Send Task Priority Messages Disabling","Present"
"Processor Context ID","Present"
"Direct Cache Access","Not Present"
"TSC-deadline Timer","Present"
"Performance/Debug Capability MSR","Present"
"IA32 Debug Interface Support","Present"
"64-Bit Debug Store","Present"
"CPL Qualified Debug Store","Present"
"64-bit Extensions","Present"
"RDTSCP and TSC_AUX Support","Present"
"1 GB large page support","Present"
"No Execute","Present"
"SYSCALL/SYSRET Support","Present"
"Bit Manipulation Instructions Set 1","Present"
"Bit Manipulation Instructions Set 2","Present"
"Advanced Vector Extensions 2 (AVX2)","Present"
"Advanced Vector Extensions 512 (AVX-512)","Not Present"
"AVX-512 Prefetch Instructions","Not Present"
"AVX-512 Exponential and Reciprocal Instructions","Not Present"
"AVX-512 Conflict Detection Instructions","Not Present"
"AVX-512 Doubleword and Quadword Instructions","Not Present"
"AVX-512 Byte and Word Instructions","Not Present"
"AVX-512 Vector Length Extensions","Not Present"
"AVX-512 52-bit Integer FMA Instructions","Not Present"
"Secure Hash Algorithm (SHA) Extensions","Not Present"
"Software Guard Extensions (SGX) Support","Present"
"Supervisor Mode Execution Protection (SMEP)","Present"
"Supervisor Mode Access Prevention (SMAP)","Present"
"Hardware Lock Elision (HLE)","Not Present"
"Restricted Transactional Memory (RTM)","Not Present"
"Memory Protection Extensions (MPX)","Present"
"Read/Write FS/GS Base Instructions","Present"
"Enhanced Performance String Instruction","Present"
"INVPCID Instruction","Present"
"RDSEED Instruction","Present"
"Multi-precision Add Carry Instructions (ADX)","Present"
"PCOMMIT Instructions","Not Present"
"CLFLUSHOPT Instructions","Present"
"CLWB Instructions","Not Present"
"TSC_THREAD_OFFSET","Present"
"Platform Quality of Service Monitoring (PQM)","Not Present"
"Platform Quality of Service Enforcement (PQE)","Not Present"
"FPU Data Pointer updated only on x87 Exceptions","Not Present"
"Deprecated FPU CS and FPU DS","Present"
"Intel Processor Trace","Present"
"PREFETCHWT1 Instruction","Not Present"
"AVX-512 Vector Bit Manipulation Instructions","Not Present"
"AVX-512 Vector Bit Manipulation Instructions 2","Not Present"
"AVX-512 Galois Fields New Instructions","Not Present"
"AVX-512 Vector AES","Not Present"
"AVX-512 Vector Neural Network Instructions","Not Present"
"AVX-512 Bit Algorithms","Not Present"
"AVX-512 Carry-Less Multiplication Quadword (VPCLMULQDQ)","Not Present"
"AVX-512 Vector POPCNT (VPOPCNTD/VPOPCNTQ)","Not Present"
"User-Mode Instruction Prevention","Not Present"
"Protection Keys for User-mode Pages","Not Present"
"OS Enabled Protection Keys","Not Present"
"Wait and Pause Enhancements (WAITPKG)","Not Present"
"Total Memory Encryption","Not Present"
"Read Processor ID","Not Present"
"Cache Line Demote","Not Present"
"MOVDIRI: Direct Stores","Not Present"
"MOVDIR64B: Direct Stores","Not Present"
"ENQCMD: Enqueue Stores","Not Present"
"SGX Launch Configuration","Present"
"AVX-512 BFLOAT16 Instructions","Not Present"
"Thermal Monitor 1:","Supported, Enabled"
"Thermal Monitor 2:","Supported, Enabled"
"Enhanced Intel SpeedStep (GV3):","Supported, Enabled"
"Bi-directional PROCHOT#:","Enabled"
"Extended Auto-HALT State C1E:","Enabled"
"MLC Streamer Prefetcher","Supported, Enabled"
"MLC Spatial Prefetcher","Supported, Enabled"
"DCU Streamer Prefetcher","Supported, Enabled"
"DCU IP Prefetcher","Supported, Enabled"
"Intel Dynamic Acceleration (IDA) Technology:","Not Supported"
"Intel Dynamic FSB Switching:","Not Supported"
"Intel Turbo Boost Technology:","Supported, Enabled"
"Programmable Ratio Limits:","Supported, Disabled"
"Programmable TDC/TDP Limits:","Supported, Disabled"
"Hardware Duty Cycling:","Supported, Enabled"
"Display HD Audio:","Supported"
"DMI x4:","Supported"
"DRAM ECC:","Not Supported"
"VT-d:","Supported"
"DMI in Gen2 Mode:","Supported"
"PEG in Gen2 Mode:","Supported"
"1N Mode DDR Timings:","Supported"
"Camarillo Device:","Supported"
"2 DIMMs per Channel:","Supported"
"X2APIC:","Supported"
"Dual Memory Channel:","Supported"
"Integrated GPU:","Enabled"
"DDR Overclocking:","Enabled"
"Overclocking by DSKU:","Disabled"
"DDR3L:","Supported"
"Maximum Memory Size per Channel:","64 GB (unlimited)"
"DDR Frequency Support (100 MHz RefClk):","1300 MHz"
"Overclocking:","Disabled"
"SMT:","Supported"
"Additive Graphics:","Supported"
"Additive Graphics:","Enabled"
"PCIe Gen 3:","Supported"
"DMI Gen 3:","Supported"
"HDCP:","Supported"
"DDR4:","Supported"
"LPDDR3:","Supported"
"BCLK OC Limit:","100 MHz"
"Maximum Supported LPDDR3 Frequency:","1067 MHz"
"Maximum Supported DDR4 Frequency:","1333 MHz"
"SVID Status:","Enabled"
"VCC VR:","ON Semi (0x25), IMVP8"
"VR Thermal Sensor:","Supported"
"Maximum Physical Address Size:","39-bit (512 GBytes)"
"Maximum Virtual Address Size:","48-bit (256 TBytes)"
"Range C0000000-100000000 (3072MB-4096MB) Type:","Uncacheable (UC)"
"Range A0000000-C0000000 (2560MB-3072MB) Type:","Uncacheable (UC)"
"Range 90000000-A0000000 (2304MB-2560MB) Type:","Uncacheable (UC)"
"Range 8C000000-90000000 (2240MB-2304MB) Type:","Uncacheable (UC)"
"Range 8B000000-8C000000 (2224MB-2240MB) Type:","Uncacheable (UC)"
"Range 2000000000-4000000000 (131072MB-262144MB) Type:","Uncacheable (UC)"
"Range 1000000000-2000000000 (65536MB-131072MB) Type:","Uncacheable (UC)"
"Range 4000000000-8000000000 (262144MB-524288MB) Type:","Uncacheable (UC)"

Motherboard

"Computer Brand Name:","Acer Aspire A715-74G"
"Motherboard Model:","CFL Pidgey_CFS"
"Motherboard Chipset:","Intel HM370 (Cannon Lake-H)"
"Motherboard Slots:","2xPCI Express x1, 1xPCI Express x16"
"PCI Express Version Supported:","v3.0"
"USB Version Supported:","v3.1"
"BIOS Manufacturer:","Insyde Corp."
"BIOS Date:","02/15/2019"
"BIOS Version:","V1.00"
"UEFI BIOS:","Capable"
"Super-IO/LPC Chip:","Unknown"

ACPI Devices


I2C HID Device

"Device Name:","I2C HID Device"
"IRQ:","1024"

Intel(R) Serial IO GPIO Host Controller - INT3450

"Device Name:","Intel(R) Serial IO GPIO Host Controller - INT3450"
"Memory Location:","FD6E0000 - FD6EFFFF"
"Memory Location:","FD6E0000 - FD6EFFFF"
"Memory Location:","FD6D0000 - FD6DFFFF"
"Memory Location:","FD6B0000 - FD6BFFFF"
"Memory Location:","FD6A0000 - FD6AFFFF"
"IRQ:","14"

Motherboard resources

"Device Name:","Motherboard resources"
"I/O Port:","1854 - 1857"
"I/O Port:","1854 - 1857"

Standard PS/2 Keyboard

"Device Name:","Standard PS/2 Keyboard"
"I/O Port:","0060"
"I/O Port:","0000"
"I/O Port:","0060"
"I/O Port:","0064"
"IRQ:","1"

Trusted Platform Module 2.0

"Device Name:","Trusted Platform Module 2.0"
"Memory Location:","FED40000 - FED44FFF"
"Memory Location:","FED40000 - FED44FFF"

Programmable interrupt controller

"Device Name:","Programmable interrupt controller"
"I/O Port:","0020 - 0021"
"I/O Port:","0030 - 0031"
"I/O Port:","00A0 - 00A1"
"I/O Port:","00B0 - 00B1"
"IRQ:","1114369"
"IRQ:","1114369"
"IRQ:","1114369"
"IRQ:","1114369"
"I/O Port:","0020 - 0021"
"I/O Port:","0024 - 0025"
"I/O Port:","0028 - 0029"
"I/O Port:","002C - 002D"
"I/O Port:","0030 - 0031"
"I/O Port:","0034 - 0035"
"I/O Port:","0038 - 0039"
"I/O Port:","003C - 003D"
"I/O Port:","00A0 - 00A1"
"I/O Port:","00A4 - 00A5"
"I/O Port:","00A8 - 00A9"
"I/O Port:","00AC - 00AD"
"I/O Port:","00B0 - 00B1"
"I/O Port:","00B4 - 00B5"
"I/O Port:","00B8 - 00B9"
"I/O Port:","00BC - 00BD"
"I/O Port:","04D0 - 04D1"

System timer

"Device Name:","System timer"
"I/O Port:","0040 - 0043"
"DMA:","0"
"I/O Port:","0040 - 0043"
"I/O Port:","0050 - 0053"
"IRQ:","0"

High precision event timer

"Device Name:","High precision event timer"
"Memory Location:","FED00000 - FED003FF"
"Memory Location:","FED00000 - FED003FF"

PCI Express Root Complex

"Device Name:","PCI Express Root Complex"
"I/O Port:","0000 - FFFFFFFF"
"Memory Location:","000A0000 - 000BFFFF"
"I/O Port:","0000 - 0CF7"
"I/O Port:","0D00 - FFFF"
"Memory Location:","000A0000 - 000BFFFF"
"Memory Location:","8F800000 - DFFFFFFF"
"Memory Location:","FC800000 - FE7FFFFF"

System CMOS/real time clock

"Device Name:","System CMOS/real time clock"
"I/O Port:","0070 - 0077"
"I/O Port:","0070 - 0077"
"IRQ:","8"

Motherboard resources

"Device Name:","Motherboard resources"
"Memory Location:","FED10000 - FED17FFF"
"Memory Location:","FED20000 - FED3FFFF"
"Memory Location:","FED10000 - FED17FFF"
"Memory Location:","FED18000 - FED18FFF"
"Memory Location:","FED19000 - FED19FFF"
"Memory Location:","E0000000 - EFFFFFFF"
"Memory Location:","FED20000 - FED3FFFF"
"Memory Location:","FED90000 - FED93FFF"
"Memory Location:","FED45000 - FED8FFFF"
"Memory Location:","FEE00000 - FEEFFFFF"

Motherboard resources

"Device Name:","Motherboard resources"
"I/O Port:","002E - 002F"
"I/O Port:","0065"
"I/O Port:","0000 - 0067"
"I/O Port:","0070"
"I/O Port:","0000 - 0091"
"IRQ:","1114369"
"I/O Port:","002E - 002F"
"I/O Port:","004E - 004F"
"I/O Port:","0061"
"I/O Port:","0063"
"I/O Port:","0065"
"I/O Port:","0067"
"I/O Port:","0068"
"I/O Port:","006C"
"I/O Port:","0070"
"I/O Port:","0080"
"I/O Port:","0092"
"I/O Port:","00B2 - 00B3"
"I/O Port:","0680 - 069F"
"I/O Port:","164E - 164F"
"I/O Port:","FD60 - FD63"

Motherboard resources

"Device Name:","Motherboard resources"
"I/O Port:","2000 - 20FE"
"I/O Port:","2000 - 20FE"

Motherboard resources

"Device Name:","Motherboard resources"
"Memory Location:","FD000000 - FD69FFFF"
"Memory Location:","FE200000 - FE7FFFFF"
"I/O Port:","1800 - 18FE"
"Memory Location:","FD000000 - FD69FFFF"
"Memory Location:","FD6C0000 - FD6CFFFF"
"Memory Location:","FD6F0000 - FDFFFFFF"
"Memory Location:","FE000000 - FE01FFFF"
"Memory Location:","FE200000 - FE7FFFFF"
"Memory Location:","FC7E0000 - FC7E0FFF"
"Memory Location:","FF000000 - FFFFFFFF"

Motherboard resources

"Device Name:","Motherboard resources"
"Memory Location:","40000000 - 403FFFFF"
"Memory Location:","40000000 - 403FFFFF"

Numeric data processor

"Device Name:","Numeric data processor"
"I/O Port:","00F0"
"I/O Port:","00F0"
"IRQ:","13"

Microsoft ACPI-Compliant Embedded Controller

"Device Name:","Microsoft ACPI-Compliant Embedded Controller"
"I/O Port:","0062"
"I/O Port:","0062"
"I/O Port:","0066"

SMBIOS DMI


BIOS

"BIOS Vendor:","Insyde Corp."
"BIOS Version:","V1.00"
"BIOS Release Date:","02/15/2019"
"BIOS Start Segment:","E000"
"BIOS Size:","0 MBytes"
"System BIOS Version:","1.0"
"Embedded Controller Firmware Version:","1.0"
"ISA Support:","Not Present"
"MCA Support:","Not Present"
"EISA Support:","Not Present"
"PCI Support:","Present"
"PC Card (PCMCIA) Support:","Not Present"
"Plug-and-Play Support:","Not Present"
"APM Support:","Not Present"
"Flash BIOS:","Present"
"BIOS Shadow:","Present"
"VL-VESA Support:","Not Present"
"ESCD Support:","Not Present"
"Boot from CD:","Present"
"Selectable Boot:","Present"
"BIOS ROM Socketed:","Not Present"
"Boot from PC Card:","Not Present"
"EDD Support:","Present"
"NEC PC-98 Support:","Not Present"
"ACPI Support:","Present"
"USB Legacy Support:","Present"
"AGP Support:","Not Present"
"I2O Boot Support:","Not Present"
"LS-120 Boot Support:","Not Present"
"ATAPI ZIP Drive Boot Support:","Not Present"
"IEE1394 Boot Support:","Not Present"
"Smart Battery Support:","Not Present"
"BIOS Boot Specification Support:","Present"
"Function key-initiated Network Service Boot Support:","Not Present"
"Targeted Content Distribution Support:","Present"
"UEFI Specification Support:","Present"
"Virtual Machine:","Not Present"

System

"System Manufacturer:","Acer"
"Product Name:","Aspire A715-74G"
"Product Version:","V1.00"
"Product Serial Number:","N9Q56WW00191100B733400"
"UUID:","{A600F2A2-F730-E911-80CE-9828A63A51BA}"
"SKU Number:","0000000000000000"
"Family:","Aspire 7"

Mainboard

"Mainboard Manufacturer:","CFL"
"Mainboard Name:","Pidgey_CFS"
"Mainboard Version:","V1.00"
"Mainboard Serial Number:","MBDUMMY008911F110D3400"
"Asset Tag:","Type2 - Board Serial Number"
"Location in chassis:","Type2 - Board Chassis Location"

System Enclosure

"Manufacturer:","Acer"
"Case Type:","Notebook"
"Version:","V1.00"
"Serial Number:","Chassis Serial Number"
"Asset Tag Number:","                      "

Processor

"Processor Manufacturer:","Intel(R) Corporation"
"Processor Version:","Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz"
"External Clock:","100 MHz"
"Maximum Clock Supported:","8300 MHz"
"Current Clock:","2673 MHz"
"CPU Socket:","Populated"
"CPU Status:","Enabled"
"Processor Type:","Central Processor"
"Processor Voltage:","0.9 V"
"Processor Upgrade:","Socket BGA1440"
"Socket Designation:","U3E1"

L1 Cache

"Socket Designation:","L1 Cache"
"Cache State:","Enabled"
"Cache Location:","Internal"
"Cache Type:","L1 Unified"
"Cache Scheme:","Write-Back"
"Supported SRAM Type:","Synchronous"
"Current SRAM Type:","Synchronous"
"Cache Speed:","Unknown"
"Error Correction Type:","Parity"
"Maximum Cache Size:","384 KBytes"
"Installed Cache Size:","384 KBytes"
"Cache Associativity:","8-way Set-Associative"

L2 Cache

"Socket Designation:","L2 Cache"
"Cache State:","Enabled"
"Cache Location:","Internal"
"Cache Type:","L2 Unified"
"Cache Scheme:","Write-Back"
"Supported SRAM Type:","Synchronous"
"Current SRAM Type:","Synchronous"
"Cache Speed:","Unknown"
"Error Correction Type:","Single-bit ECC"
"Maximum Cache Size:","1536 KBytes"
"Installed Cache Size:","1536 KBytes"
"Cache Associativity:","4-way Set-Associative"

L3 Cache

"Socket Designation:","L3 Cache"
"Cache State:","Enabled"
"Cache Location:","Internal"
"Cache Type:","L3 Unified"
"Cache Scheme:","Write-Back"
"Supported SRAM Type:","Synchronous"
"Current SRAM Type:","Synchronous"
"Cache Speed:","Unknown"
"Error Correction Type:","Multi-bit ECC"
"Maximum Cache Size:","12288 KBytes"
"Installed Cache Size:","12288 KBytes"
"Cache Associativity:","16-way Set-Associative"

On Board Device

"Device Description:","Intel Video Graphics Controller"
"Device Type:","Video Adapter"
"Device Status:","Enabled"
"Device Description:","Intel HDA Controller"
"Device Type:","Audio Device"
"Device Status:","Enabled"
"Device Description:","Intel SATA Controller"
"Device Type:","SATA Controller"
"Device Status:","Enabled"
"Device Description:","Realtek PCIe GBE Family Controller"
"Device Type:","Ethernet Adapter"
"Device Status:","Enabled"

OEM Strings



System Configuration Options



Group Associations


Group Associations


Group Associations


Intel vPro

"CPU VT-x Support:","Supported"
"CPU VT-x Status:","Enabled"
"CPU VT-x2 Support:","Not Supported"
"CPU VT-x2 Status:","Disabled"
"CPU TXT Support:","Not Supported"
"CPU TXT Status:","Disabled"
"CPU VMX Status:","Enabled"
"CPU SMX Status:","Disabled"
"Intel ME Status:","Enabled"
"Intel OST Firmware Support:","Not Supported"
"Intel ASF Firmware Support:","Not Supported"
"Intel AMT Pro Firmware Support:","Not Supported"
"Intel AMT Basic Firmware Support:","Not Supported"
"Intel TPM Firmware Support:","Not Supported"
"Intel Castle Peak Support:","Not Supported"
"Intel WoX Support:","Not Supported"
"Intel Virtualization Engine Support:","Not Supported"
"Intel Anti-Theft Technology Support:","Not Supported"
"TPM On-board:","Not Supported"
"Intel Anti-Theft Technology Enrolled:","Not Supported"
"Intel ME Version:","v12.0, Build 1310, Hotfix 22"
"BIOS VT-x Support:","Not Supported"
"BIOS VT-d Support:","Supported"
"BIOS TXT Support:","Supported"
"BIOS TPM Support:","Not Supported"
"BIOS ME Support:","Not Supported"
"BIOS VA Extensions Support:","Supported"
"Intel AT PBA For Recovery Support:","Not Supported"
"Intel AT WWAN Support:","Not Supported"

Memory Devices


Physical Memory Array

"Array Location:","System board"
"Array Use:","System memory"
"Error Detecting Method:","None"
"Memory Capacity:","32 GBytes"
"Memory Devices:","2"

Memory Device

"Total Width:","64 bits"
"Data Width:","64 bits"
"Device Size:","16384 MBytes"
"Device Form Factor:","SODIMM"
"Device Locator:","ChannelA-DIMM0"
"Bank Locator:","BANK 0"
"Device Type:","DDR4"
"Device Type Detail:","Synchronous"
"Memory Speed:","3200 MHz"
"Manufacturer:","Micron"
"Serial Number:","200A3098"
"Part Number:","16ATF2G64HZ-3G2J1   "
"Asset Tag:","9876543210"

Memory Device

"Total Width:","64 bits"
"Data Width:","64 bits"
"Device Size:","16384 MBytes"
"Device Form Factor:","SODIMM"
"Device Locator:","ChannelB-DIMM0"
"Bank Locator:","BANK 2"
"Device Type:","DDR4"
"Device Type Detail:","Synchronous"
"Memory Speed:","3200 MHz"
"Manufacturer:","Micron"
"Serial Number:","200A2DFC"
"Part Number:","16ATF2G64HZ-3G2J1   "
"Asset Tag:","9876543210"

Memory Array Mapped Address

"Starting Address:","00000000"
"Ending Address:","01FFFFFF"
"Partition Width:","2"

Memory Device Mapped Address

"Starting Address:","00000000"
"Ending Address:","00FFFFFF"
"Partition Row Position:","Unknown"
"Interleave Position:","1"
"Interleave Data Depth:","1"

Memory Device Mapped Address

"Starting Address:","00000000"
"Ending Address:","00FFFFFF"
"Partition Row Position:","Unknown"
"Interleave Position:","2"
"Interleave Data Depth:","1"

Intel ME

"ME Current Working State:","Normal"
"Manufacturing Mode:","Not Active"
"ME Current Operation Mode:","Normal"
"Boot Guard Status:","Enabled"
"Boot Guard Verified Boot Policy:","Disabled"
"Boot Guard Measured Boot Policy:","Disabled"
"Intel ME Version:","12.0, Build 1310, Hot Fix 22"
"Intel ME Recovery Image Version:","12.0, Build 1310, Hot Fix 22"
"Intel ME FITC Version:","12.0, Build 1310, Hot Fix 22"
"Full Network Manageability:","Not Capable"
"Standard Network Manageability:","Not Capable"
"Manageability (AMT):","Not Capable"
"Small Business Advantage:","Not Capable"
"Intel Integrated Touch:","Not Capable"
"Intel Anti-Theft:","Not Capable"
"Capability Licensing Service:","Capable"
"Virtualization Engine:","Not Capable"
"Intel Sensor Hub (ISH):","Not Capable"
"ICC Over Clocking:","Not Capable"
"Protected Audio Video Path (PAVP):","Capable"
"Network Frame Forwarder (NFF):","Not Capable"
"Remote PC Assist (RPAT):","Capable"
"IPV6:","Not Capable"
"KVM Remote Control:","Not Capable"
"Outbreak Containment Heuristic (OCH):","Not Capable"
"Dynamic Application Loader (DAL):","Capable"
"Cipher Transport Layer (TLS):","Not Capable"
"Wireless LAN (WLAN):","Not Capable"
"Platform Trust Technology (PTT):","Capable"
"Near Field Communication (NFC):","Not Capable"
"Full Network Manageability:","Disabled"
"Standard Network Manageability:","Disabled"
"Manageability (AMT):","Disabled"
"Small Business Advantage:","Not Capable"
"MEI3:","Not Capable"
"Intel Anti-Theft:","Disabled"
"Capability Licensing Service:","Enabled"
"Virtualization Engine:","Disabled"
"Intel Sensor Hub (ISH):","Disabled"
"ICC Over Clocking:","Disabled"
"Protected Audio Video Path (PAVP):","Enabled"
"Network Frame Forwarder (NFF):","Not Capable"
"Remote PC Assist (RPAT):","Enabled"
"IPV6:","Disabled"
"KVM Remote Control:","Disabled"
"Outbreak Containment Heuristic (OCH):","Disabled"
"Dynamic Application Loader (DAL):","Capable"
"Cipher Transport Layer (TLS):","Disabled"
"Wireless LAN (WLAN):","Disabled"
"Platform Trust Technology (PTT):","Enabled"
"Near Field Communication (NFC):","Disabled"
"Platform Target Usage Type:","Mobile"
"SKU:","Regular SKU"
"ME Firmware Image Type:","Consumer SKU Firmware"
"Platform Brand:","None"
"Host ME Region Flash Protection Override (HMRFPO) Status:","Disabled"

Memory

"Total Memory Size:","32 GBytes"
"Total Memory Size [MB]:","32768"
"Maximum Supported Memory Clock:","1333.3 MHz"
"Current Memory Clock:","1329.7 MHz"
"Current Timing (tCAS-tRCD-tRP-tRAS):","19-19-19-43"
"Memory Channels Supported:","2"
"Memory Channels Active:","2"
"Command Rate:","2T"
"Read to Read Delay (tRD_RD) Same Rank:","7T"
"Read to Read Delay (tRD_RD) Different Rank:","4T"
"Read to Read Delay (tRD_RD) Different DIMM:","7T"
"Write to Write Delay (tWR_WR) Same Rank:","7T"
"Write to Write Delay (tWR_WR) Different Rank:","4T"
"Write to Write Delay (tWR_WR) Different DIMM:","7T"
"Read to Write Delay (tRD_WR) Same Rank:","9T"
"Read to Write Delay (tRD_WR) Different Rank:","9T"
"Read to Write Delay (tRD_WR) Different DIMM:","11T"
"Write to Read Delay (tWR_RD) Same Rank (tWTR):","33T"
"Write to Read Delay (tWR_RD) Different Rank:","27T"
"Write to Read Delay (tWR_RD) Different DIMM:","6T"
"RAS# to RAS# Delay (tRRD):","7T"
"Refresh Cycle Time (tRFC):","467T"
"Four Activate Window (tFAW):","28T"

Row: 0 - 16 GB PC4-25600 DDR4 SDRAM Micron Tech. 16ATF2G64HZ-3G2J1

"Module Number:","0"
"Module Size:","16 GBytes"
"Memory Type:","DDR4 SDRAM"
