
DESKTOP-TEIQM7R

"Computer Name:","DESKTOP-TEIQM7R"
"AVX-512 Vector Bit Manipulation Instructions","Not Present"
"AVX-512 Vector Bit Manipulation Instructions 2","Not Present"
"AVX-512 Galois Fields New Instructions","Not Present"
"AVX-512 Vector AES","Not Present"
"AVX-512 Vector Neural Network Instructions","Not Present"
"AVX-512 Bit Algorithms","Not Present"
"AVX-512 Carry-Less Multiplication Quadword (VPCLMULQDQ)","Not Present"
"AVX-512 Vector POPCNT (VPOPCNTD/VPOPCNTQ)","Not Present"
"User-Mode Instruction Prevention","Not Present"
"Protection Keys for User-mode Pages","Not Present"
"OS Enabled Protection Keys","Not Present"
"Wait and Pause Enhancements (WAITPKG)","Not Present"
"Total Memory Encryption","Not Present"
"Read Processor ID","Not Present"
"Cache Line Demote","Not Present"
"MOVDIRI: Direct Stores","Not Present"
"MOVDIR64B: Direct Stores","Not Present"
"ENQCMD: Enqueue Stores","Not Present"
"SGX Launch Configuration","Present"
"AVX-512 BFLOAT16 Instructions","Not Present"
"Thermal Monitor 1:","Supported, Enabled"
"Thermal Monitor 2:","Supported, Enabled"
"Enhanced Intel SpeedStep (GV3):","Supported, Enabled"
"Bi-directional PROCHOT#:","Enabled"
"Extended Auto-HALT State C1E:","Enabled"
"MLC Streamer Prefetcher","Supported, Enabled"
"MLC Spatial Prefetcher","Supported, Enabled"
"DCU Streamer Prefetcher","Supported, Enabled"
"DCU IP Prefetcher","Supported, Enabled"
"Intel Dynamic Acceleration (IDA) Technology:","Not Supported"
"Intel Dynamic FSB Switching:","Not Supported"
"Intel Turbo Boost Technology:","Supported, Enabled"
"Programmable Ratio Limits:","Supported, Disabled"
"Programmable TDC/TDP Limits:","Supported, Disabled"
"Hardware Duty Cycling:","Supported, Enabled"
"Display HD Audio:","Supported"
"DMI x4:","Supported"
"DRAM ECC:","Not Supported"
"VT-d:","Supported"
"DMI in Gen2 Mode:","Supported"
"PEG in Gen2 Mode:","Supported"
"1N Mode DDR Timings:","Supported"
"Camarillo Device:","Supported"
"2 DIMMs per Channel:","Supported"
"X2APIC:","Supported"
"Dual Memory Channel:","Supported"
"Integrated GPU:","Enabled"
"DDR Overclocking:","Enabled"
"Overclocking by DSKU:","Disabled"
"DDR3L:","Supported"
"Maximum Memory Size per Channel:","64 GB (unlimited)"
"DDR Frequency Support (100 MHz RefClk):","1300 MHz"
"Overclocking:","Disabled"
"SMT:","Supported"
"Additive Graphics:","Supported"
"Additive Graphics:","Enabled"
"PCIe Gen 3:","Supported"
"DMI Gen 3:","Supported"
"HDCP:","Supported"
"DDR4:","Supported"
"LPDDR3:","Supported"
"BCLK OC Limit:","100 MHz"
"Maximum Supported LPDDR3 Frequency:","1067 MHz"
"Maximum Supported DDR4 Frequency:","1333 MHz"
"SVID Status:","Enabled"
"VCC VR:","Monolithic Pwr Sys (0x0), Unknown (0x0)"
"VR Thermal Sensor:","Not Supported"
"Maximum Physical Address Size:","39-bit (512 GBytes)"
"Maximum Virtual Address Size:","48-bit (256 TBytes)"
"Range 80000000-100000000 (2048MB-4096MB) Type:","Uncacheable (UC)"
"Range 60000000-80000000 (1536MB-2048MB) Type:","Uncacheable (UC)"
"Range 5C000000-60000000 (1472MB-1536MB) Type:","Uncacheable (UC)"
"Range 5A000000-5C000000 (1440MB-1472MB) Type:","Uncacheable (UC)"
"Range 59000000-5A000000 (1424MB-1440MB) Type:","Uncacheable (UC)"
"Range 58800000-59000000 (1416MB-1424MB) Type:","Uncacheable (UC)"
"Range 2000000000-4000000000 (131072MB-262144MB) Type:","Uncacheable (UC)"
"Range 1000000000-2000000000 (65536MB-131072MB) Type:","Uncacheable (UC)"

Motherboard

"Computer Brand Name:","HP HP Spectre x360 Convertible 15-df1xxx"
"Motherboard Model:","HP 863E"
"Motherboard Chipset:","Intel HM370 (Cannon Lake-H)"
"Motherboard Slots:","2xPCI Express x1, 2xPCI Express x2, 5xPCI Express x4, 1xPCI Express x8, 1xPCI Express x16"
"PCI Express Version Supported:","v3.0"
"USB Version Supported:","v3.1"
"BIOS Manufacturer:","AMI"
"BIOS Date:","07/12/2019"
"BIOS Version:","F.03"
"UEFI BIOS:","Capable"
"Super-IO/LPC Chip:","Unknown"

ACPI Devices


ELAN EzTouchFilter

"Device Name:","ELAN EzTouchFilter"
"IRQ:","1024"

Standard PS/2 Keyboard

"Device Name:","Standard PS/2 Keyboard"
"I/O Port:","0060"
"I/O Port:","0000"
"I/O Port:","0060"
"I/O Port:","0064"
"IRQ:","1"

Intel(R) Software Guard Extensions Device

"Device Name:","Intel(R) Software Guard Extensions Device"
"Memory Location:","50200000 - 55F7FFFF"
"Memory Location:","50200000 - 55F7FFFF"

Intel(R) Serial IO GPIO Host Controller - INT3450

"Device Name:","Intel(R) Serial IO GPIO Host Controller - INT3450"
"Memory Location:","FD6E0000 - FD6EFFFF"
"Memory Location:","FD6E0000 - FD6EFFFF"
"Memory Location:","FD6D0000 - FD6DFFFF"
"Memory Location:","FD6B0000 - FD6BFFFF"
"Memory Location:","FD6A0000 - FD6AFFFF"
"IRQ:","14"

Motherboard resources

"Device Name:","Motherboard resources"
"I/O Port:","1854 - 1857"
"I/O Port:","1854 - 1857"

Trusted Platform Module 2.0

"Device Name:","Trusted Platform Module 2.0"
"Memory Location:","FED40000 - FED44FFF"
"Memory Location:","FED40000 - FED44FFF"

Programmable interrupt controller

"Device Name:","Programmable interrupt controller"
"I/O Port:","0020 - 0021"
"I/O Port:","0030 - 0031"
"I/O Port:","00A0 - 00A1"
"I/O Port:","00B0 - 00B1"
"IRQ:","1114369"
"IRQ:","1114369"
"IRQ:","1114369"
"IRQ:","1114369"
"I/O Port:","0020 - 0021"
"I/O Port:","0024 - 0025"
"I/O Port:","0028 - 0029"
"I/O Port:","002C - 002D"
"I/O Port:","0030 - 0031"
"I/O Port:","0034 - 0035"
"I/O Port:","0038 - 0039"
"I/O Port:","003C - 003D"
"I/O Port:","00A0 - 00A1"
"I/O Port:","00A4 - 00A5"
"I/O Port:","00A8 - 00A9"
"I/O Port:","00AC - 00AD"
"I/O Port:","00B0 - 00B1"
"I/O Port:","00B4 - 00B5"
"I/O Port:","00B8 - 00B9"
"I/O Port:","00BC - 00BD"
"I/O Port:","04D0 - 04D1"

System timer

"Device Name:","System timer"
"I/O Port:","0040 - 0043"
"DMA:","0"
"I/O Port:","0040 - 0043"
"I/O Port:","0050 - 0053"
"IRQ:","0"

High precision event timer

"Device Name:","High precision event timer"
"Memory Location:","FED00000 - FED003FF"
"Memory Location:","FED00000 - FED003FF"

PCI Express Root Complex

"Device Name:","PCI Express Root Complex"
"I/O Port:","0000 - FFFFFFFF"
"Memory Location:","000A0000 - 000BFFFF"
"I/O Port:","0000 - 0CF7"
"I/O Port:","0D00 - FFFF"
"Memory Location:","000A0000 - 000BFFFF"
"Memory Location:","5D000000 - DFFFFFFF"
"Memory Location:","FC800000 - FE7FFFFF"

System CMOS/real time clock

"Device Name:","System CMOS/real time clock"
"I/O Port:","0070 - 0077"
"I/O Port:","0070 - 0077"
"IRQ:","8"

Motherboard resources

"Device Name:","Motherboard resources"
"Memory Location:","FED10000 - FED17FFF"
"Memory Location:","FED20000 - FED3FFFF"
"Memory Location:","FED10000 - FED17FFF"
"Memory Location:","FED18000 - FED18FFF"
"Memory Location:","FED19000 - FED19FFF"
"Memory Location:","E0000000 - EFFFFFFF"
"Memory Location:","FED20000 - FED3FFFF"
"Memory Location:","FED90000 - FED93FFF"
"Memory Location:","FED45000 - FED8FFFF"
"Memory Location:","FEE00000 - FEEFFFFF"

Motherboard resources

"Device Name:","Motherboard resources"
"I/O Port:","002E - 002F"
"I/O Port:","0065"
"I/O Port:","0000 - 006F"
"I/O Port:","0092"
"IRQ:","1114369"
"I/O Port:","002E - 002F"
"I/O Port:","004E - 004F"
"I/O Port:","0061"
"I/O Port:","0063"
"I/O Port:","0065"
"I/O Port:","0067"
"I/O Port:","0070"
"I/O Port:","0080"
"I/O Port:","0092"
"I/O Port:","00B2 - 00B3"
"I/O Port:","0680 - 069F"
"I/O Port:","164E - 164F"

Motherboard resources

"Device Name:","Motherboard resources"
"I/O Port:","2000 - 20FE"
"I/O Port:","2000 - 20FE"

Motherboard resources

"Device Name:","Motherboard resources"
"Memory Location:","FD000000 - FD69FFFF"
"Memory Location:","FE200000 - FE7FFFFF"
"I/O Port:","1800 - 18FE"
"Memory Location:","FD000000 - FD69FFFF"
"Memory Location:","FD6C0000 - FD6CFFFF"
"Memory Location:","FD6F0000 - FDFFFFFF"
"Memory Location:","FE000000 - FE01FFFF"
"Memory Location:","FE200000 - FE7FFFFF"
"Memory Location:","FF000000 - FFFFFFFF"

Motherboard resources

"Device Name:","Motherboard resources"
"Memory Location:","40000000 - 403FFFFF"
"Memory Location:","40000000 - 403FFFFF"

Numeric data processor

"Device Name:","Numeric data processor"
"I/O Port:","00F0"
"I/O Port:","00F0"
"IRQ:","13"

Microsoft ACPI-Compliant Embedded Controller

"Device Name:","Microsoft ACPI-Compliant Embedded Controller"
"I/O Port:","0062"
"I/O Port:","0062"
"I/O Port:","0066"

I2C HID Device

"Device Name:","I2C HID Device"
"IRQ:","1025"

UCM-UCSI ACPI Device

"Device Name:","UCM-UCSI ACPI Device"
"Memory Location:","4C9F5000 - 4C9F5FFF"
"Memory Location:","4C9F5000 - 4C9F5FFF"

SMBIOS DMI


BIOS

"BIOS Vendor:","AMI"
"BIOS Version:","F.03"
"BIOS Release Date:","07/12/2019"
"BIOS Start Segment:","F000"
"BIOS Size:","13 MBytes"
"System BIOS Version:","15.3"
"Embedded Controller Firmware Version:","53.21"
"ISA Support:","Not Present"
"MCA Support:","Not Present"
"EISA Support:","Not Present"
"PCI Support:","Present"
"PC Card (PCMCIA) Support:","Not Present"
"Plug-and-Play Support:","Not Present"
"APM Support:","Not Present"
"Flash BIOS:","Present"
"BIOS Shadow:","Present"
"VL-VESA Support:","Not Present"
"ESCD Support:","Not Present"
"Boot from CD:","Present"
"Selectable Boot:","Present"
"BIOS ROM Socketed:","Not Present"
"Boot from PC Card:","Not Present"
"EDD Support:","Present"
"NEC PC-98 Support:","Not Present"
"ACPI Support:","Present"
"USB Legacy Support:","Present"
"AGP Support:","Not Present"
"I2O Boot Support:","Not Present"
"LS-120 Boot Support:","Not Present"
"ATAPI ZIP Drive Boot Support:","Not Present"
"IEE1394 Boot Support:","Not Present"
"Smart Battery Support:","Present"
"BIOS Boot Specification Support:","Present"
"Function key-initiated Network Service Boot Support:","Present"
"Targeted Content Distribution Support:","Present"
"UEFI Specification Support:","Present"
"Virtual Machine:","Not Present"

System

"System Manufacturer:","HP"
"Product Name:","HP Spectre x360 Convertible 15-df1xxx"
"Product Version:",""
"Product Serial Number:","5CD93091GS"
"UUID:","{39444335-3033-3139-4753-533130334435}"
"SKU Number:","7PZ50EA#ABU"
"Family:","103C_5335KV HP Spectre"

Mainboard

"Mainboard Manufacturer:","HP"
"Mainboard Name:","863E"
"Mainboard Version:","53.21"
"Mainboard Serial Number:","PJJNA028JCK09W"
"Asset Tag:","Base Board Asset Tag"
"Location in chassis:","Base Board Chassis Location"

System Enclosure

"Manufacturer:","HP"
"Case Type:","Convertible"
"Version:","Chassis Version"
"Serial Number:","5CD93091GS"
"Asset Tag Number:","Unknown"

OEM Strings















Portable Battery

"Battery Location:","Primary"
"Battery Manufacturer:","333-27-09-A"
"Manufacture Date:","Unknown"
"Serial Number:","Unknown"
"Device Name:","SU06084XL"
"Device Chemistry:","Unknown"
"Design Capacity:","18544 mWh"
"Design Voltage:","11550 mV"
"SBDS Verison Number:","1.1"
"Max. Error in Battery Data:","Unknown"
"SBDS Serial Number:","2107"
"SBDS Manufacture Date:","6/22/35"
"SBDS Device Chemistry:","LION"

System Boot Information

"Boot Status:","No error occured"

Management Device

"Device Description:","LM78-1"
"Device Type:","National Semiconductor LM78"
"Device Address:","I/O: 0"

Temperature Probe

"Description:","LM78A"
"Location:","Motherboard"
"Status:","OK"
"Maximum Value:","Unknown"
"Minimum Value:","Unknown"
"Resolution:","Unknown"
"Tolerance:","Unknown"
"Accuracy:","Unknown"

Management Device Threshold Data


Management Device Component


Cooling Device

"Type:","Power Supply Fan"
"Description:","Cooling Dev 1"
"Status:","OK"

Management Device Threshold Data


Management Device Component


Cooling Device

"Type:","Power Supply Fan"
"Description:","Unknown"
"Status:","OK"

Management Device Threshold Data


Management Device Component


On Board Device

"Device Description:"," Onboard IGD"
"Device Type:","Video Adapter"
"Device Status:","Enabled"

TPM

"TPM Specification Version:","2.0"
"TPM Vendor:",""
"TPM Description:","INFINEON"

Firmware Version Information

"Reference Code - CPU","7.0.92.80"
"uCode Version","0.0.0.180"
"TXT ACM version","1.5.0.0"

Firmware Version Information

"Reference Code - ME","7.0.92.80"
"MEBx version","0.0.0.0"
"ME Firmware Version","Consumer SKU"

Firmware Version Information

"Reference Code - CNL PCH","7.0.92.80"
"PCH-CRID Status","Disabled"
"PCH-CRID Original Value","0x10"
"PCH-CRID New Value","0x10"
"OPROM - RST - RAID","2.10.0.0"
"CNL PCH H A0 Hsio Version","2.0.0.0"
"CNL PCH H Ax Hsio Version","9.0.0.0"
"CNL PCH H Bx Hsio Version","10.0.0.0"
"CNL PCH LP B0 Hsio Version","7.0.0.0"
"CNL PCH LP Bx Hsio Version","6.0.0.0"
"CNL PCH LP Dx Hsio Version","7.0.0.0"

Firmware Version Information

"Reference Code - SA - System Agent","7.0.92.80"
"Reference Code - MRC","0.7.1.103"
"SA - PCIe Version","7.0.92.80"
"SA-CRID Status","Disabled"
"SA-CRID Original Value","0.0.0.7"
"SA-CRID New Value","0.0.0.7"
"OPROM - VBIOS",""

Firmware Version Information

"FSP Binary Version","4.0.0.0"

L1 Cache

"Socket Designation:","L1 Cache"
"Cache State:","Enabled"
"Cache Location:","Internal"
"Cache Type:","L1 Unified"
"Cache Scheme:","Write-Back"
"Supported SRAM Type:","Synchronous"
"Current SRAM Type:","Synchronous"
"Cache Speed:","Unknown"
"Error Correction Type:","Parity"
"Maximum Cache Size:","384 KBytes"
"Installed Cache Size:","384 KBytes"
"Cache Associativity:","8-way Set-Associative"

L2 Cache

"Socket Designation:","L2 Cache"
"Cache State:","Enabled"
"Cache Location:","Internal"
"Cache Type:","L2 Unified"
"Cache Scheme:","Write-Back"
"Supported SRAM Type:","Synchronous"
"Current SRAM Type:","Synchronous"
"Cache Speed:","Unknown"
"Error Correction Type:","Single-bit ECC"
"Maximum Cache Size:","1536 KBytes"
"Installed Cache Size:","1536 KBytes"
"Cache Associativity:","4-way Set-Associative"

L3 Cache

"Socket Designation:","L3 Cache"
"Cache State:","Enabled"
"Cache Location:","Internal"
"Cache Type:","L3 Unified"
"Cache Scheme:","Write-Back"
"Supported SRAM Type:","Synchronous"
"Current SRAM Type:","Synchronous"
"Cache Speed:","Unknown"
"Error Correction Type:","Multi-bit ECC"
"Maximum Cache Size:","12288 KBytes"
"Installed Cache Size:","12288 KBytes"
"Cache Associativity:","16-way Set-Associative"

Processor

"Processor Manufacturer:","Intel(R) Corporation"
"Processor Version:","Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz"
"External Clock:","100 MHz"
"Maximum Clock Supported:","8300 MHz"
"Current Clock:","2673 MHz"
"CPU Socket:","Populated"
"CPU Status:","Enabled"
"Processor Type:","Central Processor"
"Processor Voltage:","0.9 V"
"Processor Upgrade:","Socket BGA1440"
"Socket Designation:","U3E1"

Intel vPro

"CPU VT-x Support:","Supported"
"CPU VT-x Status:","Enabled"
"CPU VT-x2 Support:","Not Supported"
"CPU VT-x2 Status:","Disabled"
"CPU TXT Support:","Not Supported"
"CPU TXT Status:","Disabled"
"CPU VMX Status:","Enabled"
"CPU SMX Status:","Disabled"
"Intel ME Status:","Enabled"
"Intel OST Firmware Support:","Not Supported"
"Intel ASF Firmware Support:","Not Supported"
"Intel AMT Pro Firmware Support:","Not Supported"
"Intel AMT Basic Firmware Support:","Not Supported"
"Intel TPM Firmware Support:","Not Supported"
"Intel Castle Peak Support:","Not Supported"
"Intel WoX Support:","Not Supported"
"Intel Virtualization Engine Support:","Not Supported"
"Intel Anti-Theft Technology Support:","Not Supported"
"TPM On-board:","Not Supported"
"Intel Anti-Theft Technology Enrolled:","Not Supported"
"Intel ME Version:","v12.0, Build 1430, Hotfix 38"
"BIOS VT-x Support:","Not Supported"
"BIOS VT-d Support:","Supported"
"BIOS TXT Support:","Not Supported"
"BIOS TPM Support:","Not Supported"
"BIOS ME Support:","Not Supported"
"BIOS VA Extensions Support:","Supported"
"Intel AT PBA For Recovery Support:","Not Supported"
"Intel AT WWAN Support:","Not Supported"

BIOS Language







On Board Device

"Device Description:","NVIDIA GeForce GTX 1650"
"Device Type:","Video Adapter"
"Device Status:","Enabled"

On Board Device

"Device Description:","Intel Dual Band Wireless-AC 9560 802.11 AC 2x2 WiFi + BT 5 Combo Adapter"
"Device Type:","Unknown"
"Device Status:","Enabled"

On Board Device

"Device Description:","Realtek PCIE CardReader"
"Device Type:","Unknown"
"Device Status:","Enabled"

Firmware Version Information

"Lan Phy Version",""
"Sensor Firmware Version",""
"Debug Mode Status","Disabled"
"Performance Mode Status","Disabled"
"Debug Use USB(Disabled:Serial)","Disabled"
"ICC Overclocking Version","0.0.0.0"
"UNDI Version",""
"EC FW Version","53.21.0.0"
"GOP Version","0.9.0.8193"
"Royal Park Version","BP1.4.3.0_RP03"
"Platform Version","0.7.0.0"
"Client Silicon Version","0.2.0.14"

Cooling Device

"Type:","Fan"
"Description:","Cooling Dev 1"
"Status:","OK"

Group Associations


Group Associations


Memory Devices


Physical Memory Array

"Array Location:","System board"
"Array Use:","System memory"
"Error Detecting Method:","None"
"Memory Capacity:","32 GBytes"
"Memory Devices:","2"

Memory Array Mapped Address

"Starting Address:","00000000"
"Ending Address:","00FFFFFF"
"Partition Width:","2"

Memory Device

"Total Width:","64 bits"
"Data Width:","64 bits"
"Device Size:","8192 MBytes"
"Device Form Factor:","SODIMM"
"Device Locator:","Bottom - on board"
"Bank Locator:","BANK 0"
"Device Type:","DDR4"
"Device Type Detail:","Synchronous"
"Memory Speed:","2667 MHz"
"Manufacturer:","Samsung"
"Serial Number:","Not Available"
"Part Number:","K4AAG165WB-MCTD     "
"Asset Tag:","9876543210"

Memory Device

"Total Width:","64 bits"
"Data Width:","64 bits"
"Device Size:","8192 MBytes"
"Device Form Factor:","SODIMM"
"Device Locator:","Bottom - on board"
"Bank Locator:","BANK 2"
"Device Type:","DDR4"
"Device Type Detail:","Synchronous"
"Memory Speed:","2667 MHz"
"Manufacturer:","Samsung"
"Serial Number:","Not Available"
"Part Number:","K4AAG165WB-MCTD     "
"Asset Tag:","9876543210"

Memory Device Mapped Address

"Starting Address:","00000000"
"Ending Address:","007FFFFF"
"Partition Row Position:","1"
"Interleave Position:","Non-interleaved"
"Interleave Data Depth:","0"

Memory Device Mapped Address

"Starting Address:","00800000"
"Ending Address:","00FFFFFF"
"Partition Row Position:","1"
"Interleave Position:","Non-interleaved"
"Interleave Data Depth:","0"

Port Connectors


Mouse Port

"Port Type:","Mouse Port"
"Internal Reference:","Mouse"
"Internal Connector Type:","None"
"External Reference:","PS2Mouse"
"External Connector Type:","PS/2"

Keyboard Port

"Port Type:","Keyboard Port"
"Internal Reference:","Keyboard"
