
LENOVO-PC

"Computer Name:","LENOVO-PC"
"AVX-512 Conflict Detection Instructions","Not Present"
"AVX-512 Doubleword and Quadword Instructions","Not Present"
"AVX-512 Byte and Word Instructions","Not Present"
"AVX-512 Vector Length Extensions","Not Present"
"AVX-512 52-bit Integer FMA Instructions","Not Present"
"Secure Hash Algorithm (SHA) Extensions","Not Present"
"Software Guard Extensions (SGX) Support","Not Present"
"Supervisor Mode Execution Protection (SMEP)","Present"
"Supervisor Mode Access Prevention (SMAP)","Not Present"
"Hardware Lock Elision (HLE)","Present"
"Restricted Transactional Memory (RTM)","Present"
"Memory Protection Extensions (MPX)","Not Present"
"Read/Write FS/GS Base Instructions","Present"
"Enhanced Performance String Instruction","Present"
"INVPCID Instruction","Present"
"RDSEED Instruction","Not Present"
"Multi-precision Add Carry Instructions (ADX)","Not Present"
"PCOMMIT Instructions","Not Present"
"CLFLUSHOPT Instructions","Not Present"
"CLWB Instructions","Not Present"
"TSC_THREAD_OFFSET","Present"
"Platform Quality of Service Monitoring (PQM)","Not Present"
"Platform Quality of Service Enforcement (PQE)","Not Present"
"FPU Data Pointer updated only on x87 Exceptions","Not Present"
"Deprecated FPU CS and FPU DS","Present"
"Intel Processor Trace","Not Present"
"PREFETCHWT1 Instruction","Not Present"
"AVX-512 Vector Bit Manipulation Instructions","Not Present"
"AVX-512 Vector Bit Manipulation Instructions 2","Not Present"
"AVX-512 Galois Fields New Instructions","Not Present"
"AVX-512 Vector AES","Not Present"
"AVX-512 Vector Neural Network Instructions","Not Present"
"AVX-512 Bit Algorithms","Not Present"
"AVX-512 Carry-Less Multiplication Quadword (VPCLMULQDQ)","Not Present"
"AVX-512 Vector POPCNT (VPOPCNTD/VPOPCNTQ)","Not Present"
"User-Mode Instruction Prevention","Not Present"
"Protection Keys for User-mode Pages","Not Present"
"OS Enabled Protection Keys","Not Present"
"Wait and Pause Enhancements (WAITPKG)","Not Present"
"Total Memory Encryption","Not Present"
"Read Processor ID","Not Present"
"Cache Line Demote","Not Present"
"MOVDIRI: Direct Stores","Not Present"
"MOVDIR64B: Direct Stores","Not Present"
"ENQCMD: Enqueue Stores","Not Present"
"SGX Launch Configuration","Not Present"
"AVX-512 BFLOAT16 Instructions","Not Present"
"Thermal Monitor 1:","Supported, Enabled"
"Thermal Monitor 2:","Supported, Enabled"
"Enhanced Intel SpeedStep (GV3):","Supported, Enabled"
"Bi-directional PROCHOT#:","Enabled"
"Extended Auto-HALT State C1E:","Enabled"
"MLC Streamer Prefetcher","Supported, Enabled"
"MLC Spatial Prefetcher","Supported, Enabled"
"DCU Streamer Prefetcher","Supported, Enabled"
"DCU IP Prefetcher","Supported, Enabled"
"Intel Dynamic Acceleration (IDA) Technology:","Not Supported"
"Intel Dynamic FSB Switching:","Not Supported"
"Intel Turbo Boost Technology:","Supported, Enabled"
"Programmable Ratio Limits:","Supported, Disabled"
"Programmable TDC/TDP Limits:","Supported, Disabled"
"Hardware Duty Cycling:","Not Supported"
"Internal Graphics:","Supported"
"ECC:","Not Supported"
"VT-d:","Supported"
"2 DIMMs per Channel:","Not Supported"
"X2APIC:","Supported"
"Dual Channel:","Supported"
"BCLK Coarse Ratio Support (PCIe Ratio Changing):","Not Supported"
"DDR Overclocking:","Not Supported"
"Overclocking:","Not Supported"
"Overclocking:","Disabled"
"DMI Width:","x4"
"DMI Gen 2 Mode:","Supported"
"Camarillo Device:","Not Supported"
"Display HD Audio:","Supported"
"DDR3L:","Supported"
"Maximum Memory Size per Channel:","16 GB"
"DDR3 Frequency Support (100 MHz RefClk):","800 MHz (DDR3-1600)"
"Additive Graphics:","Supported"
"Additive Graphics:","Enabled"
"PCIe Gen 3:","Not Supported"
"PCIe x16 Port:","Supported"
"SOFTBIN:","Not Supported"
"VCC VR:","ON Semi NCP81119, VR12.5"
"VR Thermal Sensor:","Supported"
"Maximum Physical Address Size:","39-bit (512 GBytes)"
"Maximum Virtual Address Size:","48-bit (256 TBytes)"
"Range 0-200000000 (0MB-8192MB) Type:","Write Back (WB)"
"Range 200000000-220000000 (8192MB-8704MB) Type:","Write Back (WB)"
"Range 220000000-230000000 (8704MB-8960MB) Type:","Write Back (WB)"
"Range E0000000-100000000 (3584MB-4096MB) Type:","Uncacheable (UC)"
"Range D0000000-E0000000 (3328MB-3584MB) Type:","Uncacheable (UC)"
"Range CE000000-D0000000 (3296MB-3328MB) Type:","Uncacheable (UC)"
"Range CD000000-CE000000 (3280MB-3296MB) Type:","Uncacheable (UC)"
"Range 22FE00000-230000000 (8958MB-8960MB) Type:","Uncacheable (UC)"

Motherboard

"Computer Brand Name:","LENOVO F0AU009TUK"
"Motherboard Model:","LENOVO HASWELLREFRESHDT"
"Motherboard Chipset:","Intel H81 (Lynx Point)"
"Motherboard Slots:","5xPCI Express x1, 1xPCI Express x8"
"PCI Express Version Supported:","v2.0"
"USB Version Supported:","v3.0"
"PCH PEG/DMI Ratio:","5/5"
"BIOS Manufacturer:","LENOVO"
"BIOS Date:","10/22/2014"
"BIOS Version:","O0BKT18AUS"
"UEFI BIOS:","Capable"
"Super-IO/LPC Chip:","ITE IT8792E/IT8795E/DX"

ACPI Devices


NFC SMBus Device

"Device Name:","NFC SMBus Device"

Intel(R) 82802 Firmware Hub Device

"Device Name:","Intel(R) 82802 Firmware Hub Device"
"Memory Location:","FF000000 - FFFFFFFF"
"Memory Location:","FF000000 - FFFFFFFF"

Motherboard resources

"Device Name:","Motherboard resources"
"I/O Port:","1854 - 1857"
"I/O Port:","1854 - 1857"

Programmable interrupt controller

"Device Name:","Programmable interrupt controller"
"I/O Port:","0020 - 0021"
"I/O Port:","0030 - 0031"
"I/O Port:","00A0 - 00A1"
"I/O Port:","00B0 - 00B1"
"IRQ:","1114369"
"IRQ:","1114369"
"IRQ:","1114369"
"IRQ:","1114369"
"I/O Port:","0020 - 0021"
"I/O Port:","0024 - 0025"
"I/O Port:","0028 - 0029"
"I/O Port:","002C - 002D"
"I/O Port:","0030 - 0031"
"I/O Port:","0034 - 0035"
"I/O Port:","0038 - 0039"
"I/O Port:","003C - 003D"
"I/O Port:","00A0 - 00A1"
"I/O Port:","00A4 - 00A5"
"I/O Port:","00A8 - 00A9"
"I/O Port:","00AC - 00AD"
"I/O Port:","00B0 - 00B1"
"I/O Port:","00B4 - 00B5"
"I/O Port:","00B8 - 00B9"
"I/O Port:","00BC - 00BD"
"I/O Port:","04D0 - 04D1"

System timer

"Device Name:","System timer"
"I/O Port:","0040 - 0043"
"DMA:","0"
"I/O Port:","0040 - 0043"
"I/O Port:","0050 - 0053"
"IRQ:","0"

High precision event timer

"Device Name:","High precision event timer"
"Memory Location:","FED00000 - FED003FF"
"Memory Location:","FED00000 - FED003FF"

Direct memory access controller

"Device Name:","Direct memory access controller"
"I/O Port:","0000 - 001F"
"I/O Port:","0000 - 001F"
"I/O Port:","0081 - 0091"
"I/O Port:","0093 - 009F"
"I/O Port:","00C0 - 00DF"
"DMA:","4"

PCI Express Root Complex

"Device Name:","PCI Express Root Complex"
"I/O Port:","0000 - FFFFFFFF"
"Memory Location:","000A0000 - 000BFFFF"
"Memory Location:","000C4000 - 000C3FFF"
"Memory Location:","000CC000 - 000CFFFF"
"Memory Location:","000D4000 - 000D3FFF"
"I/O Port:","0000 - 0CF7"
"I/O Port:","0D00 - FFFF"
"Memory Location:","000A0000 - 000BFFFF"
"Memory Location:","000C0000 - 000C3FFF"
"Memory Location:","000C4000 - 000C7FFF"
"Memory Location:","000C8000 - 000CBFFF"
"Memory Location:","000CC000 - 000CFFFF"
"Memory Location:","000D0000 - 000D3FFF"
"Memory Location:","000D4000 - 000D7FFF"
"Memory Location:","000D8000 - 000DBFFF"
"Memory Location:","000DC000 - 000DFFFF"
"Memory Location:","CF200000 - FEAFFFFF"

System CMOS/real time clock

"Device Name:","System CMOS/real time clock"
"I/O Port:","0070 - 0077"
"I/O Port:","0070 - 0077"
"IRQ:","8"

System board

"Device Name:","System board"
"Memory Location:","FED40000 - FED44FFF"
"Memory Location:","FED40000 - FED44FFF"

Motherboard resources

"Device Name:","Motherboard resources"
"Memory Location:","FED1C000 - FED1FFFF"
"Memory Location:","F8000000 - FBFFFFFF"
"Memory Location:","FF000000 - FFFFFFFF"
"Memory Location:","FED1C000 - FED1FFFF"
"Memory Location:","FED10000 - FED17FFF"
"Memory Location:","FED18000 - FED18FFF"
"Memory Location:","FED19000 - FED19FFF"
"Memory Location:","F8000000 - FBFFFFFF"
"Memory Location:","FED20000 - FED3FFFF"
"Memory Location:","FED90000 - FED93FFF"
"Memory Location:","FED45000 - FED8FFFF"
"Memory Location:","FF000000 - FFFFFFFF"
"Memory Location:","FEE00000 - FEEFFFFF"
"Memory Location:","F7FE0000 - F7FEFFFF"
"Memory Location:","F7FF0000 - F7FFFFFF"

Motherboard resources

"Device Name:","Motherboard resources"
"I/O Port:","0010 - 001F"
"I/O Port:","0065 - 006F"
"I/O Port:","0088"
"Memory Location:","00000000 - 0000008F"
"I/O Port:","0010 - 001F"
"I/O Port:","0022 - 003F"
"I/O Port:","0044 - 005F"
"I/O Port:","0062 - 0063"
"I/O Port:","0065 - 006F"
"I/O Port:","0072 - 007F"
"I/O Port:","0080"
"I/O Port:","0084 - 0086"
"I/O Port:","0088"
"I/O Port:","008C - 008E"
"I/O Port:","0090 - 009F"
"I/O Port:","00A2 - 00BF"
"I/O Port:","00E0 - 00EF"
"I/O Port:","04D0 - 04D1"
"Memory Location:","FED40000 - FED44FFF"

Motherboard resources

"Device Name:","Motherboard resources"
"I/O Port:","0A00 - 0A0F"
"I/O Port:","0A40 - 0A4F"
"I/O Port:","0A00 - 0A0F"
"I/O Port:","0A10 - 0A1F"
"I/O Port:","0A20 - 0A2F"
"I/O Port:","0A30 - 0A3F"
"I/O Port:","0A40 - 0A4F"
"I/O Port:","0A50 - 0A5F"

Motherboard resources

"Device Name:","Motherboard resources"
"I/O Port:","0800 - 087F"
"I/O Port:","0800 - 087F"

Numeric data processor

"Device Name:","Numeric data processor"
"I/O Port:","00F0"
"I/O Port:","00F0"
"IRQ:","13"

SMBIOS DMI


BIOS

"BIOS Vendor:","LENOVO"
"BIOS Version:","O0BKT18AUS"
"BIOS Release Date:","10/22/2014"
"BIOS Start Segment:","F000"
"BIOS Size:","4096 KBytes"
"System BIOS Version:","1.18"
"Embedded Controller Firmware Version:","0.5"
"ISA Support:","Not Present"
"MCA Support:","Not Present"
"EISA Support:","Not Present"
"PCI Support:","Present"
"PC Card (PCMCIA) Support:","Not Present"
"Plug-and-Play Support:","Not Present"
"APM Support:","Not Present"
"Flash BIOS:","Present"
"BIOS Shadow:","Present"
"VL-VESA Support:","Not Present"
"ESCD Support:","Not Present"
"Boot from CD:","Present"
"Selectable Boot:","Present"
"BIOS ROM Socketed:","Present"
"Boot from PC Card:","Not Present"
"EDD Support:","Present"
"NEC PC-98 Support:","Not Present"
"ACPI Support:","Present"
"USB Legacy Support:","Present"
"AGP Support:","Not Present"
"I2O Boot Support:","Not Present"
"LS-120 Boot Support:","Not Present"
"ATAPI ZIP Drive Boot Support:","Not Present"
"IEE1394 Boot Support:","Not Present"
"Smart Battery Support:","Not Present"
"BIOS Boot Specification Support:","Present"
"Function key-initiated Network Service Boot Support:","Not Present"
"Targeted Content Distribution Support:","Present"
"UEFI Specification Support:","Present"
"Virtual Machine:","Not Present"

System

"System Manufacturer:","LENOVO"
"Product Name:","F0AU009TUK"
"Product Version:","Lenovo B50-30"
"Product Serial Number:","S1005YE4"
"UUID:","{0B372A44-795E-11E4-93C2-E0A10BEE2800}"
"SKU Number:","LENOVO_PN_Lenovo B50-30"
"Family:","IdeaCentre"

Mainboard

"Mainboard Manufacturer:","LENOVO"
"Mainboard Name:","HASWELLREFRESHDT"
"Mainboard Version:","31900058 STD"
"Mainboard Serial Number:",""
"Asset Tag:","                         "
"Location in chassis:","To be filled by O.E.M."

System Enclosure

"Manufacturer:","To Be Filled By O.E.M."
"Case Type:","Desktop"
"Version:","To Be Filled By O.E.M."
"Serial Number:","S1005YE4"
"Asset Tag Number:","                    "

On Board Device

"Device Description:","Ethernet Controller"
"Device Type:","Ethernet Adapter"
"Device Status:","Enabled"
"Device Description:","Realtek High Definition Audio"
"Device Type:","Audio Device"
"Device Status:","Enabled"
"Device Description:","SATA Controller"
"Device Type:","SATA Controller"
"Device Status:","Enabled"

OEM Strings





System Configuration Options







Hardware Security

"Power-on Password:","Disabled"
"Keyboard Password:","Enabled"
"Administrator Password:","Disabled"
"Front Panel Reset:","Not implemented"

System Boot Information

"Boot Status:","No error occured"

On Board Device

"Device Description:"," Onboard IGD"
"Device Type:","Video Adapter"
"Device Status:","Enabled"

On Board Device

"Device Description:"," Onboard LAN"
"Device Type:","Ethernet Adapter"
"Device Status:","Enabled"

On Board Device

"Device Description:"," Onboard 1394"
"Device Type:","Unknown"
"Device Status:","Enabled"

Processor

"Processor Manufacturer:","Intel"
"Processor Version:","Intel(R) Core(TM) i7-4785T CPU @ 2.20GHz"
"External Clock:","100 MHz"
"Maximum Clock Supported:","2200 MHz"
"Current Clock:","2200 MHz"
"CPU Socket:","Populated"
"CPU Status:","Enabled"
"Processor Type:","Central Processor"
"Processor Voltage:","1.2 V"
"Processor Upgrade:","Socket BGA1155"
"Socket Designation:","SOCKET 0"

CPU Internal L1

"Socket Designation:","CPU Internal L1"
"Cache State:","Enabled"
"Cache Location:","Internal"
"Cache Type:","L1"
"Cache Scheme:","Write-Back"
"Supported SRAM Type:","Synchronous"
"Current SRAM Type:","Synchronous"
"Cache Speed:","Unknown"
"Error Correction Type:","Parity"
"Maximum Cache Size:","256 KBytes"
"Installed Cache Size:","256 KBytes"
"Cache Associativity:","8-way Set-Associative"

CPU Internal L2

"Socket Designation:","CPU Internal L2"
"Cache State:","Enabled"
"Cache Location:","Internal"
"Cache Type:","L2 Unified"
"Cache Scheme:","Write-Back"
"Supported SRAM Type:","Synchronous"
"Current SRAM Type:","Synchronous"
"Cache Speed:","Unknown"
"Error Correction Type:","Single-bit ECC"
"Maximum Cache Size:","1024 KBytes"
"Installed Cache Size:","1024 KBytes"
"Cache Associativity:","8-way Set-Associative"

CPU Internal L3

"Socket Designation:","CPU Internal L3"
"Cache State:","Enabled"
"Cache Location:","Internal"
"Cache Type:","L3 Unified"
"Cache Scheme:","Write-Back"
"Supported SRAM Type:","Synchronous"
"Current SRAM Type:","Synchronous"
"Cache Speed:","Unknown"
"Error Correction Type:","Multi-bit ECC"
"Maximum Cache Size:","8192 KBytes"
"Installed Cache Size:","8192 KBytes"
"Cache Associativity:","16-way Set-Associative"

BIOS Language





Firmware Version Information

"Reference Code - ACPI","1.2.0.0"

Firmware Version Information

"Reference Code - CPU","1.2.0.0"
"uCode Version","0.0.0.25"
"TXT ACM version","0.5.0.0"

Firmware Version Information

"Reference Code - PCH - Lynxpoint","1.2.0.0"
"PCH-CRID Status","Disabled"
"PCH-CRID Original Value","0x5"
"PCH-CRID New Value","0x5"
"OPROM - RST - RAID",""
"LPTLp Bx Hsio Version","25.0.0.0"
"LPTH Cx Hsio Version","44.0.0.0"
"PCH9S A0 Hsio Version","3.0.0.0"
"WPTLp A0 Hsio Version","4.0.0.0"
"WPTLp B0 Hsio Version","1.0.0.0"

Firmware Version Information

"Reference Code - PCH - Lynxpoint","1.2.0.0"
"PCH-CRID Status","Disabled"
"PCH-CRID Original Value","0x5"
"PCH-CRID New Value","0x5"
"OPROM - RST - RAID",""
"LPTLp Bx Hsio Version","25.0.0.0"
"LPTH Cx Hsio Version","44.0.0.0"
"PCH9S A0 Hsio Version","3.0.0.0"
"WPTLp A0 Hsio Version","4.0.0.0"
"WPTLp B0 Hsio Version","1.0.0.0"

Firmware Version Information

"Reference Code - ME 10.0","1.2.0.0"
"MEBx version",""
"ME Firmware Version","1.5MB SKU"

Firmware Version Information

"Reference Code - SA - System Agent","1.2.0.0"
"Reference Code - MRC","1.8.0.0"
"SA - PCIe Version","1.2.0.0"
"SA-CRID Status","Disabled"
"SA-CRID Original Value","0x6"
"SA-CRID New Value","0x6"
"OPROM - VBIOS",""

Firmware Version Information

"Reference Code - Intel Rapid Start","1.2.0.0"

Group Associations


Intel vPro

"CPU VT-x Support:","Supported"
"CPU VT-x Status:","Disabled"
"CPU VT-x2 Support:","Not Supported"
"CPU VT-x2 Status:","Disabled"
"CPU TXT Support:","Supported"
"CPU TXT Status:","Disabled"
"CPU VMX Status:","Disabled"
"CPU SMX Status:","Disabled"
"Intel ME Status:","Enabled"
"Intel OST Firmware Support:","Not Supported"
"Intel ASF Firmware Support:","Not Supported"
"Intel AMT Pro Firmware Support:","Not Supported"
"Intel AMT Basic Firmware Support:","Not Supported"
"Intel TPM Firmware Support:","Not Supported"
"Intel Castle Peak Support:","Not Supported"
"Intel WoX Support:","Not Supported"
"Intel Virtualization Engine Support:","Not Supported"
"Intel Anti-Theft Technology Support:","Not Supported"
"TPM On-board:","Not Supported"
"Intel Anti-Theft Technology Enrolled:","Not Supported"
"Intel ME Version:","v9.1, Build 1120, Hotfix 0"
"BIOS VT-x Support:","Not Supported"
"BIOS VT-d Support:","Supported"
"BIOS TXT Support:","Supported"
"BIOS TPM Support:","Not Supported"
"BIOS ME Support:","Not Supported"
"BIOS VA Extensions Support:","Supported"
"Intel AT PBA For Recovery Support:","Supported"
"Intel AT WWAN Support:","Not Supported"

Memory Devices


Physical Memory Array

"Array Location:","System board"
"Array Use:","System memory"
"Error Detecting Method:","None"
"Memory Capacity:","16 GBytes"
"Memory Devices:","2"

Memory Device

"Total Width:","64 bits"
"Data Width:","64 bits"
"Device Size:","4096 MBytes"
"Device Form Factor:","SODIMM"
"Device Locator:","ChannelA-DIMM0"
"Bank Locator:","BANK 0"
"Device Type:","DDR3 SDRAM"
"Device Type Detail:","Synchronous"
"Memory Speed:","1600 MHz"
"Manufacturer:","Micron"
"Serial Number:","0D7ABEB7"
"Part Number:","8KTF51264HZ-1G6E1 "
"Asset Tag:","9876543210"

Memory Device

"Total Width:","64 bits"
"Data Width:","64 bits"
"Device Size:","4096 MBytes"
"Device Form Factor:","SODIMM"
"Device Locator:","ChannelB-DIMM0"
"Bank Locator:","BANK 2"
"Device Type:","DDR3 SDRAM"
"Device Type Detail:","Synchronous"
"Memory Speed:","1600 MHz"
"Manufacturer:","Micron"
"Serial Number:","0D7ABEB8"
"Part Number:","8KTF51264HZ-1G6E1 "
"Asset Tag:","9876543210"

Memory Array Mapped Address

"Starting Address:","00000000"
"Ending Address:","007FFFFF"
"Partition Width:","2"

Memory Device Mapped Address

"Starting Address:","00000000"
"Ending Address:","003FFFFF"
"Partition Row Position:","Unknown"
"Interleave Position:","1"
"Interleave Data Depth:","1"

Memory Device Mapped Address

"Starting Address:","00400000"
"Ending Address:","007FFFFF"
"Partition Row Position:","Unknown"
"Interleave Position:","2"
"Interleave Data Depth:","1"

Intel ME

"ME Current Working State:","Normal"
"Manufacturing Mode:","Not Active"
"ME Current Operation Mode:","Normal"
"Boot Guard Status:","Disabled"
"Intel ME Version:","9.1, Build 1120"
"Intel ME Recovery Image Version:","9.1, Build 1120"
"Intel ME FITC Version:","9.1, Build 1120"
"Full Network Manageability:","Not Capable"
"Standard Network Manageability:","Not Capable"
"Manageability (AMT):","Not Capable"
"Small Business Advantage:","Not Capable"
"Manageability Upgrade:","Not Capable"
"Intel Anti-Theft:","Capable"
"Capability Licensing Service:","Capable"
"Virtualization Engine:","Not Capable"
"Power Sharing Technology (MPC):","Not Capable"
"ICC Over Clocking:","Capable"
"Protected Audio Video Path (PAVP):","Capable"
"Identity Protection Technology (IPT):","Not Capable"
"Remote PC Assist (RPAT):","Not Capable"
"IPV6:","Not Capable"
"KVM Remote Control:","Not Capable"
"Outbreak Containment Heuristic (OCH):","Not Capable"
"Virtual LAN (VLAN):","Capable"
"Cipher Transport Layer (TLS):","Not Capable"
"Wireless LAN (WLAN):","Not Capable"
"Platform Trust Technology (PTT):","Not Capable"
"Near Field Communication (NFC):","Not Capable"
"Full Network Manageability:","Disabled"
"Standard Network Manageability:","Disabled"
"Manageability (AMT):","Disabled"
"Small Business Advantage:","Not Capable"
"Manageability Upgrade:","Not Capable"
"Intel Anti-Theft:","Enabled"
"Capability Licensing Service:","Enabled"
"Virtualization Engine:","Disabled"
"Power Sharing Technology (MPC):","Disabled"
"ICC Over Clocking:","Enabled"
"Protected Audio Video Path (PAVP):","Enabled"
"Identity Protection Technology (IPT):","Not Capable"
"Remote PC Assist (RPAT):","Disabled"
"IPV6:","Disabled"
"KVM Remote Control:","Disabled"
"Outbreak Containment Heuristic (OCH):","Disabled"
"Virtual LAN (VLAN):","Capable"
"Cipher Transport Layer (TLS):","Disabled"
"Wireless LAN (WLAN):","Disabled"
"Platform Trust Technology (PTT):","Disabled"
"Near Field Communication (NFC):","Disabled"
"Platform Target Usage Type:","Desktop"
"SKU:","Regular SKU"
"ME Firmware Image Type:","1.5MB Firmware"
"Platform Brand:","None"
"Host ME Region Flash Protection Override (HMRFPO) Status:","Locked"

Memory

"Total Memory Size:","8 GBytes"
"Total Memory Size [MB]:","8192"
"Maximum Supported Memory Clock:","800.0 MHz"
