
DESKTOP-MKCPKTI

"Computer Name:","DESKTOP-MKCPKTI"
"IccMax:","6.00 A"
"L1 Cache:","Instruction: 4 x 32 KBytes, Data: 4 x 32 KBytes"
"L2 Cache:","Integrated: 4 x 256 KBytes"
"L3 Cache:","8 MBytes"
"Instruction TLB:","2MB/4MB Pages, Fully associative, 8 entries"
"Data TLB:","4 KB Pages, 4-way set associative, 64 entries"
"FPU on Chip","Present"
"Enhanced Virtual-86 Mode","Present"
"I/O Breakpoints","Present"
"Page Size Extensions","Present"
"Time Stamp Counter","Present"
"Pentium-style Model Specific Registers","Present"
"Physical Address Extension","Present"
"Machine Check Exception","Present"
"CMPXCHG8B Instruction","Present"
"APIC On Chip / PGE (AMD)","Present"
"Fast System Call","Present"
"Memory Type Range Registers","Present"
"Page Global Feature","Present"
"Machine Check Architecture","Present"
"CMOV Instruction","Present"
"Page Attribute Table","Present"
"36-bit Page Size Extensions","Present"
"Processor Number","Not Present"
"CLFLUSH Instruction","Present"
"Debug Trace and EMON Store","Present"
"Internal ACPI Support","Present"
"MMX Technology","Present"
"Fast FP Save/Restore (IA MMX-2)","Present"
"Streaming SIMD Extensions","Present"
"Streaming SIMD Extensions 2","Present"
"Self-Snoop","Present"
"Multi-Threading Capable","Present"
"Automatic Clock Control","Present"
"IA-64 Processor","Not Present"
"Signal Break on FERR","Present"
"Virtual Machine Extensions (VMX)","Present"
"Safer Mode Extensions (Intel TXT)","Present"
"Streaming SIMD Extensions 3","Present"
"Supplemental Streaming SIMD Extensions 3","Present"
"Streaming SIMD Extensions 4.1","Present"
"Streaming SIMD Extensions 4.2","Present"
"AVX Support","Present"
"Fused Multiply Add (FMA)","Present"
"Carryless Multiplication (PCLMULQDQ)/GFMUL","Present"
"CMPXCHG16B Support","Present"
"MOVBE Instruction","Present"
"POPCNT Instruction","Present"
"XSAVE/XRSTOR/XSETBV/XGETBV Instructions","Present"
"XGETBV/XSETBV OS Enabled","Present"
"Float16 Instructions","Present"
"AES Cryptography Support","Present"
"Random Number Read Instruction (RDRAND)","Present"
"Extended xAPIC","Present"
"MONITOR/MWAIT Support","Present"
"Thermal Monitor 2","Present"
"Enhanced SpeedStep Technology","Present"
"L1 Context ID","Not Present"
"Send Task Priority Messages Disabling","Present"
"Processor Context ID","Present"
"Direct Cache Access","Not Present"
"TSC-deadline Timer","Present"
"Performance/Debug Capability MSR","Present"
"IA32 Debug Interface Support","Present"
"64-Bit Debug Store","Present"
"CPL Qualified Debug Store","Present"
"64-bit Extensions","Present"
"RDTSCP and TSC_AUX Support","Present"
"1 GB large page support","Present"
"No Execute","Present"
"SYSCALL/SYSRET Support","Present"
"Bit Manipulation Instructions Set 1","Present"
"Bit Manipulation Instructions Set 2","Present"
"Advanced Vector Extensions 2 (AVX2)","Present"
"Advanced Vector Extensions 512 (AVX-512)","Not Present"
"AVX-512 Prefetch Instructions","Not Present"
"AVX-512 Exponential and Reciprocal Instructions","Not Present"
"AVX-512 Conflict Detection Instructions","Not Present"
"AVX-512 Doubleword and Quadword Instructions","Not Present"
"AVX-512 Byte and Word Instructions","Not Present"
"AVX-512 Vector Length Extensions","Not Present"
"AVX-512 52-bit Integer FMA Instructions","Not Present"
"Secure Hash Algorithm (SHA) Extensions","Not Present"
"Software Guard Extensions (SGX) Support","Present"
"Supervisor Mode Execution Protection (SMEP)","Present"
"Supervisor Mode Access Prevention (SMAP)","Present"
"Hardware Lock Elision (HLE)","Present"
"Restricted Transactional Memory (RTM)","Present"
"Memory Protection Extensions (MPX)","Present"
"Read/Write FS/GS Base Instructions","Present"
"Enhanced Performance String Instruction","Present"
"INVPCID Instruction","Present"
"RDSEED Instruction","Present"
"Multi-precision Add Carry Instructions (ADX)","Present"
"PCOMMIT Instructions","Not Present"
"CLFLUSHOPT Instructions","Present"
"CLWB Instructions","Not Present"
"TSC_THREAD_OFFSET","Present"
"Platform Quality of Service Monitoring (PQM)","Not Present"
"Platform Quality of Service Enforcement (PQE)","Not Present"
"FPU Data Pointer updated only on x87 Exceptions","Not Present"
"Deprecated FPU CS and FPU DS","Present"
"Intel Processor Trace","Present"
"PREFETCHWT1 Instruction","Not Present"
"AVX-512 Vector Bit Manipulation Instructions","Not Present"
"AVX-512 Vector Bit Manipulation Instructions 2","Not Present"
"AVX-512 Galois Fields New Instructions","Not Present"
"AVX-512 Vector AES","Not Present"
"AVX-512 Vector Neural Network Instructions","Not Present"
"AVX-512 Bit Algorithms","Not Present"
"AVX-512 Carry-Less Multiplication Quadword (VPCLMULQDQ)","Not Present"
"AVX-512 Vector POPCNT (VPOPCNTD/VPOPCNTQ)","Not Present"
"User-Mode Instruction Prevention","Not Present"
"Protection Keys for User-mode Pages","Not Present"
"OS Enabled Protection Keys","Not Present"
"Wait and Pause Enhancements (WAITPKG)","Not Present"
"Total Memory Encryption","Not Present"
"Read Processor ID","Not Present"
"Cache Line Demote","Not Present"
"MOVDIRI: Direct Stores","Not Present"
"MOVDIR64B: Direct Stores","Not Present"
"ENQCMD: Enqueue Stores","Not Present"
"SGX Launch Configuration","Not Present"
"AVX-512 BFLOAT16 Instructions","Not Present"
"Thermal Monitor 1:","Supported, Enabled"
"Thermal Monitor 2:","Supported, Enabled"
"Enhanced Intel SpeedStep (GV3):","Supported, Enabled"
"Bi-directional PROCHOT#:","Enabled"
"Extended Auto-HALT State C1E:","Enabled"
"MLC Streamer Prefetcher","Supported, Enabled"
"MLC Spatial Prefetcher","Supported, Enabled"
"DCU Streamer Prefetcher","Supported, Enabled"
"DCU IP Prefetcher","Supported, Enabled"
"Intel Dynamic Acceleration (IDA) Technology:","Not Supported"
"Intel Dynamic FSB Switching:","Not Supported"
"Intel Turbo Boost Technology:","Supported, Enabled"
"Programmable Ratio Limits:","Supported, Disabled"
"Programmable TDC/TDP Limits:","Supported, Disabled"
"Hardware Duty Cycling:","Supported, Enabled"
"Display HD Audio:","Supported"
"DMI x4:","Supported"
"DRAM ECC:","Not Supported"
"VT-d:","Supported"
"DMI in Gen2 Mode:","Not Supported"
"PEG in Gen2 Mode:","Not Supported"
"1N Mode DDR Timings:","Supported"
"Camarillo Device:","Supported"
"2 DIMMs per Channel:","Not Supported"
"X2APIC:","Supported"
"Dual Memory Channel:","Supported"
"Integrated GPU:","Enabled"
"DDR Overclocking:","Disabled"
"Overclocking by DSKU:","Disabled"
"DDR3L:","Supported"
"Maximum Memory Size per Channel:","64 GB (unlimited)"
"Overclocking:","Disabled"
"SMT:","Supported"
"Additive Graphics:","Supported"
"Additive Graphics:","Disabled"
"PCIe Gen 3:","Not Supported"
"DMI Gen 3:","Not Supported"
"HDCP:","Supported"
"DDR4:","Supported"
"LPDDR3:","Supported"
"BCLK OC Limit:","100 MHz"
"Maximum Supported LPDDR3 Frequency:","1067 MHz"
"Maximum Supported DDR4 Frequency:","1200 MHz"
"SVID Status:","Enabled"
"VCC VR:","Monolithic Pwr Sys (0x79), IMVP8"
"VR Thermal Sensor:","Not Supported"
"Maximum Physical Address Size:","39-bit (512 GBytes)"
"Maximum Virtual Address Size:","48-bit (256 TBytes)"
"Range C0000000-100000000 (3072MB-4096MB) Type:","Uncacheable (UC)"
"Range A0000000-C0000000 (2560MB-3072MB) Type:","Uncacheable (UC)"
"Range 9C000000-A0000000 (2496MB-2560MB) Type:","Uncacheable (UC)"
"Range 2000000000-4000000000 (131072MB-262144MB) Type:","Uncacheable (UC)"
"Range 1000000000-2000000000 (65536MB-131072MB) Type:","Uncacheable (UC)"
"Range 800000000-1000000000 (32768MB-65536MB) Type:","Uncacheable (UC)"
"Range 4000000000-8000000000 (262144MB-524288MB) Type:","Uncacheable (UC)"

Motherboard

"Computer Brand Name:","HP HP EliteBook x360 1040 G6"
"Motherboard Model:","HP 857F"
"Motherboard Chipset:","Intel Cannon Lake-U PCH-LP Premium"
"Motherboard Slots:","2xPCI Express x1, 5xPCI Express x4"
"PCI Express Version Supported:","v3.0"
"USB Version Supported:","v3.1"
"BIOS Manufacturer:","HP"
"BIOS Date:","09/04/2019"
"BIOS Version:","R90 Ver. 01.01.04"
"UEFI BIOS:","Capable"
"Super-IO/LPC Chip:","Unknown"

ACPI Devices


Standard 101/102-Key or Microsoft Natural PS/2 Keyboard for HP Hotkey Support

"Device Name:","Standard 101/102-Key or Microsoft Natural PS/2 Keyboard for HP Hotkey Support"
"I/O Port:","0060"
"I/O Port:","0000"
"I/O Port:","0060"
"I/O Port:","0064"
"IRQ:","1"

Trusted Platform Module 2.0

"Device Name:","Trusted Platform Module 2.0"
"Memory Location:","FED40000 - FED44FFF"
"Memory Location:","FED40000 - FED44FFF"

Intel(R) Serial IO GPIO Host Controller - INT34BB

"Device Name:","Intel(R) Serial IO GPIO Host Controller - INT34BB"
"Memory Location:","FD6E0000 - FD6EFFFF"
"Memory Location:","FD6E0000 - FD6EFFFF"
"Memory Location:","FD6D0000 - FD6DFFFF"
"Memory Location:","FD6A0000 - FD6AFFFF"
"IRQ:","14"

Motherboard resources

"Device Name:","Motherboard resources"
"I/O Port:","1854 - 1857"
"I/O Port:","1854 - 1857"

NxpNfcClientDriver

"Device Name:","NxpNfcClientDriver"
"IRQ:","1025"

Programmable interrupt controller

"Device Name:","Programmable interrupt controller"
"I/O Port:","0020 - 0021"
"I/O Port:","0030 - 0031"
"I/O Port:","00A0 - 00A1"
"I/O Port:","00B0 - 00B1"
"IRQ:","1114369"
"IRQ:","1114369"
"IRQ:","1114369"
"IRQ:","1114369"
"I/O Port:","0020 - 0021"
"I/O Port:","0024 - 0025"
"I/O Port:","0028 - 0029"
"I/O Port:","002C - 002D"
"I/O Port:","0030 - 0031"
"I/O Port:","0034 - 0035"
"I/O Port:","0038 - 0039"
"I/O Port:","003C - 003D"
"I/O Port:","00A0 - 00A1"
"I/O Port:","00A4 - 00A5"
"I/O Port:","00A8 - 00A9"
"I/O Port:","00AC - 00AD"
"I/O Port:","00B0 - 00B1"
"I/O Port:","00B4 - 00B5"
"I/O Port:","00B8 - 00B9"
"I/O Port:","00BC - 00BD"
"I/O Port:","04D0 - 04D1"

System timer

"Device Name:","System timer"
"I/O Port:","0040 - 0043"
"DMA:","0"
"I/O Port:","0040 - 0043"
"I/O Port:","0050 - 0053"
"IRQ:","0"

High precision event timer

"Device Name:","High precision event timer"
"Memory Location:","FED00000 - FED003FF"
"Memory Location:","FED00000 - FED003FF"

PCI Express Root Complex

"Device Name:","PCI Express Root Complex"
"I/O Port:","0000 - FFFFFFFF"
"Memory Location:","000A0000 - 000BFFFF"
"I/O Port:","0000 - 0CF7"
"I/O Port:","0D00 - FFFF"
"Memory Location:","000A0000 - 000BFFFF"
"Memory Location:","9E800000 - EFFFFFFF"
"Memory Location:","FC800000 - FE7FFFFF"

System CMOS/real time clock

"Device Name:","System CMOS/real time clock"
"I/O Port:","0070 - 0077"
"I/O Port:","0070 - 0077"
"IRQ:","8"

Motherboard resources

"Device Name:","Motherboard resources"
"Memory Location:","FED10000 - FED17FFF"
"Memory Location:","FED20000 - FED3FFFF"
"Memory Location:","FED10000 - FED17FFF"
"Memory Location:","FED18000 - FED18FFF"
"Memory Location:","FED19000 - FED19FFF"
"Memory Location:","F0000000 - F7FFFFFF"
"Memory Location:","FED20000 - FED3FFFF"
"Memory Location:","FED90000 - FED93FFF"
"Memory Location:","FED45000 - FED8FFFF"
"Memory Location:","FEE00000 - FEEFFFFF"

Motherboard resources

"Device Name:","Motherboard resources"
"I/O Port:","0200 - 027F"
"I/O Port:","0200 - 027F"
"Memory Location:","FEDF0000 - FEDFFFFF"

Motherboard resources

"Device Name:","Motherboard resources"
"I/O Port:","002E - 002F"
"I/O Port:","0065"
"I/O Port:","0000 - 006F"
"I/O Port:","0092"
"IRQ:","1114369"
"I/O Port:","002E - 002F"
"I/O Port:","004E - 004F"
"I/O Port:","0061"
"I/O Port:","0063"
"I/O Port:","0065"
"I/O Port:","0067"
"I/O Port:","0070"
"I/O Port:","0080"
"I/O Port:","0092"
"I/O Port:","00B2 - 00B3"
"I/O Port:","0680 - 069F"
"I/O Port:","164E - 164F"

Motherboard resources

"Device Name:","Motherboard resources"
"I/O Port:","2000 - 20FE"
"I/O Port:","2000 - 20FE"

Motherboard resources

"Device Name:","Motherboard resources"
"Memory Location:","FD000000 - FD69FFFF"
"Memory Location:","FE200000 - FE7FFFFF"
"I/O Port:","1800 - 18FE"
"Memory Location:","FD000000 - FD69FFFF"
"Memory Location:","FD6B0000 - FD6CFFFF"
"Memory Location:","FD6F0000 - FDFFFFFF"
"Memory Location:","FE000000 - FE01FFFF"
"Memory Location:","FE200000 - FE7FFFFF"
"Memory Location:","FF000000 - FFFFFFFF"

Motherboard resources

"Device Name:","Motherboard resources"
"Memory Location:","40000000 - 403FFFFF"
"Memory Location:","40000000 - 403FFFFF"

Microsoft ACPI-Compliant Embedded Controller

"Device Name:","Microsoft ACPI-Compliant Embedded Controller"
"I/O Port:","0062"
"I/O Port:","0062"
"I/O Port:","0066"

PS/2 Compatible Mouse

"Device Name:","PS/2 Compatible Mouse"
"IRQ:","12"
"IRQ:","12"

I2C HID Device

"Device Name:","I2C HID Device"
"IRQ:","1026"

UCM-UCSI ACPI Device

"Device Name:","UCM-UCSI ACPI Device"
"Memory Location:","97B40000 - 97B40FFF"
"Memory Location:","97B40000 - 97B40FFF"

Wacom Device

"Device Name:","Wacom Device"
"IRQ:","1024"

SMBIOS DMI


TPM

"TPM Specification Version:","2.0"
"TPM Vendor:","Infineon"
"TPM Description:","SLB9670"

BIOS

"BIOS Vendor:","HP"
"BIOS Version:","R90 Ver. 01.01.04"
"BIOS Release Date:","09/04/2019"
"BIOS Start Segment:","F000"
"BIOS Size:","32 MBytes"
"System BIOS Version:","1.4"
"Embedded Controller Firmware Version:","96.42"
"ISA Support:","Not Present"
"MCA Support:","Not Present"
"EISA Support:","Not Present"
"PCI Support:","Present"
"PC Card (PCMCIA) Support:","Present"
"Plug-and-Play Support:","Not Present"
"APM Support:","Not Present"
"Flash BIOS:","Present"
"BIOS Shadow:","Present"
"VL-VESA Support:","Not Present"
"ESCD Support:","Not Present"
"Boot from CD:","Present"
"Selectable Boot:","Present"
"BIOS ROM Socketed:","Not Present"
"Boot from PC Card:","Not Present"
"EDD Support:","Present"
"NEC PC-98 Support:","Not Present"
"ACPI Support:","Present"
"USB Legacy Support:","Present"
"AGP Support:","Not Present"
"I2O Boot Support:","Not Present"
"LS-120 Boot Support:","Not Present"
"ATAPI ZIP Drive Boot Support:","Not Present"
"IEE1394 Boot Support:","Not Present"
"Smart Battery Support:","Present"
"BIOS Boot Specification Support:","Present"
"Function key-initiated Network Service Boot Support:","Present"
"Targeted Content Distribution Support:","Present"
"UEFI Specification Support:","Present"
"Virtual Machine:","Not Present"

System

"System Manufacturer:","HP"
"Product Name:","HP EliteBook x360 1040 G6"
"Product Version:",""
"Product Serial Number:","5CG9281BFM"
"UUID:","{C8403B8D-7CBE-E43E-583B-57BB86942C85}"
"SKU Number:","7GF35AA#ABA"
"Family:","103C_5336AN HP EliteBook x360"

Mainboard

"Mainboard Manufacturer:","HP"
"Mainboard Name:","857F"
"Mainboard Version:","KBC Version 60.2A.00"
"Mainboard Serial Number:","PJBML00WBCG00Q"
"Asset Tag:"," "
"Location in chassis:"," "

System Enclosure

"Manufacturer:","HP"
"Case Type:","Notebook"
"Version:"," "
"Serial Number:","5CG9281BFM"
"Asset Tag Number:","5CG9281BFM"

BIOS Language

















L1 Cache

"Socket Designation:","L1 Cache"
"Cache State:","Enabled"
"Cache Location:","Internal"
"Cache Type:","L1 Unified"
"Cache Scheme:","Write-Back"
"Supported SRAM Type:","Synchronous"
"Current SRAM Type:","Synchronous"
"Cache Speed:","Unknown"
"Error Correction Type:","Parity"
"Maximum Cache Size:","256 KBytes"
"Installed Cache Size:","256 KBytes"
"Cache Associativity:","8-way Set-Associative"

L2 Cache

"Socket Designation:","L2 Cache"
"Cache State:","Enabled"
"Cache Location:","Internal"
"Cache Type:","L2 Unified"
"Cache Scheme:","Write-Back"
"Supported SRAM Type:","Synchronous"
"Current SRAM Type:","Synchronous"
"Cache Speed:","Unknown"
"Error Correction Type:","Single-bit ECC"
"Maximum Cache Size:","1024 KBytes"
"Installed Cache Size:","1024 KBytes"
"Cache Associativity:","4-way Set-Associative"

L3 Cache

"Socket Designation:","L3 Cache"
"Cache State:","Enabled"
"Cache Location:","Internal"
"Cache Type:","L3 Unified"
"Cache Scheme:","Write-Back"
"Supported SRAM Type:","Synchronous"
"Current SRAM Type:","Synchronous"
"Cache Speed:","Unknown"
"Error Correction Type:","Multi-bit ECC"
"Maximum Cache Size:","8192 KBytes"
"Installed Cache Size:","8192 KBytes"
"Cache Associativity:","16-way Set-Associative"

Processor

"Processor Manufacturer:","Intel(R) Corporation"
"Processor Version:","Intel(R) Core(TM) i7-8665U CPU @ 1.90GHz"
"External Clock:","100 MHz"
"Maximum Clock Supported:","4800 MHz"
"Current Clock:","1782 MHz"
"CPU Socket:","Populated"
"CPU Status:","Enabled"
"Processor Type:","Central Processor"
"Processor Voltage:","0.7 V"
"Processor Upgrade:","Unknown (3C)"
"Socket Designation:","U3E1"

On Board Device

"Device Description:","Onboard IGD"
"Device Type:","Video Adapter"
"Device Status:","Enabled"

Intel AMT

"Intel AMT Support:","Supported"
"Intel AMT Status:","Enabled"
"IDE-R Status:","Enabled"
"SOL Status:","Enabled"
"Network Interface:","Enabled"

Intel vPro

"CPU VT-x Support:","Supported"
"CPU VT-x Status:","Enabled"
"CPU VT-x2 Support:","Not Supported"
"CPU VT-x2 Status:","Disabled"
"CPU TXT Support:","Supported"
"CPU TXT Status:","Disabled"
"CPU VMX Status:","Enabled"
"CPU SMX Status:","Disabled"
"Intel ME Status:","Enabled"
"Intel OST Firmware Support:","Not Supported"
"Intel ASF Firmware Support:","Not Supported"
"Intel AMT Pro Firmware Support:","Supported"
"Intel AMT Basic Firmware Support:","Not Supported"
"Intel TPM Firmware Support:","Not Supported"
"Intel Castle Peak Support:","Not Supported"
"Intel WoX Support:","Not Supported"
"Intel Virtualization Engine Support:","Not Supported"
"Intel Anti-Theft Technology Support:","Not Supported"
"TPM On-board:","Not Supported"
"Intel Anti-Theft Technology Enrolled:","Not Supported"
"Intel ME Version:","v12.0, Build 1428, Hotfix 36"
"BIOS VT-x Support:","Not Supported"
"BIOS VT-d Support:","Supported"
"BIOS TXT Support:","Supported"
"BIOS TPM Support:","Not Supported"
"BIOS ME Support:","Not Supported"
"BIOS VA Extensions Support:","Supported"
"Intel AT PBA For Recovery Support:","Not Supported"
"Intel AT WWAN Support:","Not Supported"

Portable Battery

"Battery Location:","Primary"
"Battery Manufacturer:","333-24-10-A"
"Manufacture Date:","Unknown"
"Serial Number:","Unknown"
"Device Name:","BL04056XL"
"Device Chemistry:","Unknown"
"Design Capacity:","56210 mWh"
"Design Voltage:","7700 mV"
"SBDS Verison Number:","1.1"
"Max. Error in Battery Data:","Unknown"
"SBDS Serial Number:","1891"
"SBDS Manufacture Date:","3/1/35"
"SBDS Device Chemistry:","LION"

Hardware Security

"Power-on Password:","Disabled"
"Keyboard Password:","Disabled"
"Administrator Password:","Disabled"
"Front Panel Reset:","Disabled"

System Boot Information

"Boot Status:","No error occured"

OEM Strings








On Board Device

"Device Description:","32 MB"
"Device Type:","Video Adapter"
"Device Status:","Enabled"

Group Associations


Memory Devices


Physical Memory Array

"Array Location:","System board"
"Array Use:","System memory"
"Error Detecting Method:","None"
"Memory Capacity:","32 GBytes"
"Memory Devices:","2"

Memory Array Mapped Address

"Starting Address:","00000000"
"Ending Address:","00FFFFFF"
"Partition Width:","2"

Memory Device

"Total Width:","64 bits"
"Data Width:","64 bits"
"Device Size:","8192 MBytes"
"Device Form Factor:","SODIMM"
"Device Locator:","Bottom-OnBoard 1"
"Bank Locator:","ChannelA0"
"Device Type:","DDR4"
"Device Type Detail:","Synchronous"
"Memory Speed:","2667 MHz"
"Manufacturer:","Micron"
"Serial Number:","00000000"
"Part Number:","MT40A1G16KNR-075:E"
"Asset Tag:"," "

Memory Device

"Total Width:","64 bits"
"Data Width:","64 bits"
"Device Size:","8192 MBytes"
"Device Form Factor:","SODIMM"
"Device Locator:","Bottom-OnBoard 2"
"Bank Locator:","ChannelB0"
"Device Type:","DDR4"
"Device Type Detail:","Synchronous"
"Memory Speed:","2667 MHz"
"Manufacturer:","Micron"
"Serial Number:","00000000"
"Part Number:","MT40A1G16KNR-075:E"
"Asset Tag:"," "

Memory Device Mapped Address

"Starting Address:","00000000"
"Ending Address:","007FFFFF"
"Partition Row Position:","1"
"Interleave Position:","Non-interleaved"
"Interleave Data Depth:","0"

Memory Device Mapped Address

"Starting Address:","00800000"
"Ending Address:","00FFFFFF"
"Partition Row Position:","1"
"Interleave Position:","1"
"Interleave Data Depth:","0"

Port Connectors


SATA

"Port Type:","SATA"
"Internal Reference:","Ctrl0Port0"
"Internal Connector Type:","SAS/SATA Plug Receptacle"
"External Reference:","Primary HDD Bay"
"External Connector Type:","SAS/SATA Plug Receptacle"

SATA

"Port Type:","SATA"
"Internal Reference:","Ctrl0Port2"
"Internal Connector Type:","SAS/SATA Plug Receptacle"
"External Reference:","M.2"
"External Connector Type:","SAS/SATA Plug Receptacle"

System Slots


M2 WLAN/BT

"Slot Designation:","M2 WLAN/BT"
"Slot Type:","PCI Express Gen3 x1"
"Slot Usage:","Empty"
"Slot Data Bus Width:","1x / x1"
"Slot Length:","Long"

M2 SSD

"Slot Designation:","M2 SSD"
"Slot Type:","PCI Express Gen3 x4"
"Slot Usage:","In use"
"Slot Data Bus Width:","4x / x4"
"Slot Length:","Long"

Intel ME

"ME Current Working State:","Normal"
"Manufacturing Mode:","Not Active"
"ME Current Operation Mode:","Normal"
"Boot Guard Status:","Enabled"
"Boot Guard Verified Boot Policy:","Disabled"
"Boot Guard Measured Boot Policy:","Disabled"
"Intel ME Version:","12.0, Build 1428, Hot Fix 36"
"Intel ME Recovery Image Version:","12.0, Build 1428, Hot Fix 36"
"Intel ME FITC Version:","12.0, Build 1428, Hot Fix 36"
"Intel AMT Version:","12.0.36, Build 1428"
"Intel AMT Applications Version:","12.0.36"
"Flash Version:","12.0.36"
"Netstack Version:","12.0.36"
"Recovery Version:","12.0.36, Build 1428"
"BIOS Version:","R90 Ver. 01.01.04"
"Full Network Manageability:","Capable"
"Standard Network Manageability:","Not Capable"
"Manageability (AMT):","Capable"
"Small Business Advantage:","Not Capable"
"Intel Integrated Touch:","Not Capable"
"Intel Anti-Theft:","Not Capable"
"Capability Licensing Service:","Capable"
"Virtualization Engine:","Not Capable"
"Intel Sensor Hub (ISH):","Capable"
"ICC Over Clocking:","Not Capable"
"Protected Audio Video Path (PAVP):","Capable"
"Network Frame Forwarder (NFF):","Not Capable"
"Remote PC Assist (RPAT):","Capable"
"IPV6:","Capable"
"KVM Remote Control:","Capable"
"Outbreak Containment Heuristic (OCH):","Not Capable"
"Dynamic Application Loader (DAL):","Capable"
"Cipher Transport Layer (TLS):","Capable"
"Wireless LAN (WLAN):","Capable"
"Platform Trust Technology (PTT):","Not Capable"
"Near Field Communication (NFC):","Not Capable"
"Full Network Manageability:","Enabled"
"Standard Network Manageability:","Disabled"
"Manageability (AMT):","Enabled"
"Small Business Advantage:","Not Capable"
"MEI3:","Not Capable"
"Intel Anti-Theft:","Disabled"
"Capability Licensing Service:","Enabled"
"Virtualization Engine:","Disabled"
"Intel Sensor Hub (ISH):","Enabled"
"ICC Over Clocking:","Disabled"
"Protected Audio Video Path (PAVP):","Enabled"
"Network Frame Forwarder (NFF):","Not Capable"
"Remote PC Assist (RPAT):","Enabled"
"IPV6:","Enabled"
"KVM Remote Control:","Enabled"
"Outbreak Containment Heuristic (OCH):","Disabled"
"Dynamic Application Loader (DAL):","Capable"
"Cipher Transport Layer (TLS):","Enabled"
"Wireless LAN (WLAN):","Enabled"
