
DESKTOP-R4BUFME

"Computer Name:","DESKTOP-R4BUFME"
"Additive Graphics:","Disabled"
"PCIe Gen 3:","Not Supported"
"DMI Gen 3:","Not Supported"
"HDCP:","Supported"
"DDR4:","Supported"
"LPDDR3:","Supported"
"BCLK OC Limit:","100 MHz"
"Maximum Supported LPDDR3 Frequency:","1067 MHz"
"Maximum Supported DDR4 Frequency:","1200 MHz"
"SVID Status:","Enabled"
"VCC VR:","Intersil (0x57), IMVP8"
"VR Thermal Sensor:","Not Supported"
"Maximum Physical Address Size:","39-bit (512 GBytes)"
"Maximum Virtual Address Size:","48-bit (256 TBytes)"
"Range C0000000-100000000 (3072MB-4096MB) Type:","Uncacheable (UC)"
"Range A0000000-C0000000 (2560MB-3072MB) Type:","Uncacheable (UC)"
"Range 90000000-A0000000 (2304MB-2560MB) Type:","Write Combining (WC)"
"Range 8C000000-90000000 (2240MB-2304MB) Type:","Uncacheable (UC)"
"Range 8A000000-8C000000 (2208MB-2240MB) Type:","Uncacheable (UC)"

Motherboard

"Computer Brand Name:","DELL Inspiron 7386"
"Motherboard Model:","DELL 0RFT4W"
"Motherboard Chipset:","Intel Cannon Lake-U PCH-LP Premium"
"Motherboard Slots:","4xPCI Express x1, 1xPCI Express x16"
"USB Version Supported:","v3.1"
"BIOS Manufacturer:","Dell Inc."
"BIOS Date:","05/29/2019"
"BIOS Version:","1.5.0"
"UEFI BIOS:","Capable"
"Super-IO/LPC Chip:","Unknown"

ACPI Devices


I2C HID Device

"Device Name:","I2C HID Device"
"IRQ:","51"

PS/2 Compatible Mouse

"Device Name:","PS/2 Compatible Mouse"
"IRQ:","12"
"IRQ:","12"

Standard PS/2 Keyboard

"Device Name:","Standard PS/2 Keyboard"
"I/O Port:","0060"
"I/O Port:","0000"
"I/O Port:","0060"
"I/O Port:","0064"
"IRQ:","1"

I2C HID Device

"Device Name:","I2C HID Device"
"IRQ:","31"

Intel(R) Software Guard Extensions Device

"Device Name:","Intel(R) Software Guard Extensions Device"
"Memory Location:","80200000 - 85F7FFFF"
"Memory Location:","80200000 - 85F7FFFF"

Intel(R) Serial IO GPIO Host Controller - INT34BB

"Device Name:","Intel(R) Serial IO GPIO Host Controller - INT34BB"
"Memory Location:","FD6E0000 - FD6EFFFF"
"Memory Location:","FD6E0000 - FD6EFFFF"
"Memory Location:","FD6D0000 - FD6DFFFF"
"Memory Location:","FD6A0000 - FD6AFFFF"
"IRQ:","14"

Motherboard resources

"Device Name:","Motherboard resources"
"I/O Port:","1854 - 1857"
"I/O Port:","1854 - 1857"

Trusted Platform Module 2.0

"Device Name:","Trusted Platform Module 2.0"
"Memory Location:","FED40000 - FED44FFF"
"Memory Location:","FED40000 - FED44FFF"

Programmable interrupt controller

"Device Name:","Programmable interrupt controller"
"I/O Port:","0020 - 0021"
"I/O Port:","0030 - 0031"
"I/O Port:","00A0 - 00A1"
"I/O Port:","00B0 - 00B1"
"IRQ:","1114369"
"IRQ:","1114369"
"IRQ:","1114369"
"IRQ:","1114369"
"I/O Port:","0020 - 0021"
"I/O Port:","0024 - 0025"
"I/O Port:","0028 - 0029"
"I/O Port:","002C - 002D"
"I/O Port:","0030 - 0031"
"I/O Port:","0034 - 0035"
"I/O Port:","0038 - 0039"
"I/O Port:","003C - 003D"
"I/O Port:","00A0 - 00A1"
"I/O Port:","00A4 - 00A5"
"I/O Port:","00A8 - 00A9"
"I/O Port:","00AC - 00AD"
"I/O Port:","00B0 - 00B1"
"I/O Port:","00B4 - 00B5"
"I/O Port:","00B8 - 00B9"
"I/O Port:","00BC - 00BD"
"I/O Port:","04D0 - 04D1"

System timer

"Device Name:","System timer"
"I/O Port:","0040 - 0043"
"DMA:","0"
"I/O Port:","0040 - 0043"
"I/O Port:","0050 - 0053"
"IRQ:","0"

High precision event timer

"Device Name:","High precision event timer"
"Memory Location:","FED00000 - FED003FF"
"Memory Location:","FED00000 - FED003FF"

PCI Express Root Complex

"Device Name:","PCI Express Root Complex"
"I/O Port:","0000 - FFFFFFFF"
"Memory Location:","000A0000 - 000BFFFF"
"Memory Location:","000C4000 - 000C3FFF"
"Memory Location:","000CC000 - 000CFFFF"
"Memory Location:","000D4000 - 000D3FFF"
"Memory Location:","000DC000 - 000DFFFF"
"I/O Port:","0000 - 0CF7"
"I/O Port:","0D00 - FFFF"
"Memory Location:","000A0000 - 000BFFFF"
"Memory Location:","000C0000 - 000C3FFF"
"Memory Location:","000C4000 - 000C7FFF"
"Memory Location:","000C8000 - 000CBFFF"
"Memory Location:","000CC000 - 000CFFFF"
"Memory Location:","000D0000 - 000D3FFF"
"Memory Location:","000D4000 - 000D7FFF"
"Memory Location:","000D8000 - 000DBFFF"
"Memory Location:","000DC000 - 000DFFFF"
"Memory Location:","8E800000 - DFFFFFFF"
"Memory Location:","FC800000 - FE7FFFFF"

Motherboard resources

"Device Name:","Motherboard resources"
"Memory Location:","FED10000 - FED17FFF"
"Memory Location:","FED20000 - FED3FFFF"
"Memory Location:","FED10000 - FED17FFF"
"Memory Location:","FED18000 - FED18FFF"
"Memory Location:","FED19000 - FED19FFF"
"Memory Location:","E0000000 - EFFFFFFF"
"Memory Location:","FED20000 - FED3FFFF"
"Memory Location:","FED90000 - FED93FFF"
"Memory Location:","FED45000 - FED8FFFF"
"Memory Location:","FEE00000 - FEEFFFFF"

Motherboard resources

"Device Name:","Motherboard resources"
"I/O Port:","002E - 002F"
"I/O Port:","0065"
"I/O Port:","0000 - 006F"
"I/O Port:","0092"
"IRQ:","1114369"
"I/O Port:","002E - 002F"
"I/O Port:","004E - 004F"
"I/O Port:","0061"
"I/O Port:","0063"
"I/O Port:","0065"
"I/O Port:","0067"
"I/O Port:","0070"
"I/O Port:","0080"
"I/O Port:","0092"
"I/O Port:","00B2 - 00B3"
"I/O Port:","0680 - 069F"
"I/O Port:","164E - 164F"

Motherboard resources

"Device Name:","Motherboard resources"
"I/O Port:","2000 - 20FE"
"I/O Port:","2000 - 20FE"

Motherboard resources

"Device Name:","Motherboard resources"
"Memory Location:","FD000000 - FD69FFFF"
"Memory Location:","FE200000 - FE7FFFFF"
"I/O Port:","1800 - 18FE"
"Memory Location:","FD000000 - FD69FFFF"
"Memory Location:","FD6B0000 - FD6CFFFF"
"Memory Location:","FD6F0000 - FDFFFFFF"
"Memory Location:","FE000000 - FE01FFFF"
"Memory Location:","FE200000 - FE7FFFFF"
"Memory Location:","FF000000 - FFFFFFFF"

Motherboard resources

"Device Name:","Motherboard resources"
"Memory Location:","40000000 - 403FFFFF"
"Memory Location:","40000000 - 403FFFFF"

Microsoft ACPI-Compliant Embedded Controller

"Device Name:","Microsoft ACPI-Compliant Embedded Controller"
"I/O Port:","0930"
"I/O Port:","0930"
"I/O Port:","0934"

UCM-UCSI ACPI Device

"Device Name:","UCM-UCSI ACPI Device"
"Memory Location:","7F6EC000 - 7F6ECFFF"
"Memory Location:","7F6EC000 - 7F6ECFFF"

SMBIOS DMI


BIOS

"BIOS Vendor:","Dell Inc."
"BIOS Version:","1.5.0"
"BIOS Release Date:","05/29/2019"
"BIOS Start Segment:","F000"
"BIOS Size:","16 MBytes"
"System BIOS Version:","1.5"
"ISA Support:","Not Present"
"MCA Support:","Not Present"
"EISA Support:","Not Present"
"PCI Support:","Present"
"PC Card (PCMCIA) Support:","Not Present"
"Plug-and-Play Support:","Present"
"APM Support:","Not Present"
"Flash BIOS:","Present"
"BIOS Shadow:","Present"
"VL-VESA Support:","Not Present"
"ESCD Support:","Not Present"
"Boot from CD:","Present"
"Selectable Boot:","Present"
"BIOS ROM Socketed:","Not Present"
"Boot from PC Card:","Not Present"
"EDD Support:","Present"
"NEC PC-98 Support:","Not Present"
"ACPI Support:","Present"
"USB Legacy Support:","Present"
"AGP Support:","Not Present"
"I2O Boot Support:","Not Present"
"LS-120 Boot Support:","Not Present"
"ATAPI ZIP Drive Boot Support:","Not Present"
"IEE1394 Boot Support:","Not Present"
"Smart Battery Support:","Present"
"BIOS Boot Specification Support:","Present"
"Function key-initiated Network Service Boot Support:","Present"
"Targeted Content Distribution Support:","Present"
"UEFI Specification Support:","Present"
"Virtual Machine:","Not Present"

System

"System Manufacturer:","Dell Inc."
"Product Name:","Inspiron 7386"
"Product Version:","Unknown"
"Product Serial Number:","DK2W2P2"
"UUID:","{4C4C4544-004B-3210-8057-C4C04F325032}"
"SKU Number:","0894"
"Family:","Inspiron"

Mainboard

"Mainboard Manufacturer:","Dell Inc."
"Mainboard Name:","0RFT4W"
"Mainboard Version:","A00"
"Mainboard Serial Number:","/DK2W2P2/CNWSC008BH002N/"
"Asset Tag:","Unknown"
"Location in chassis:","Unknown"

System Enclosure

"Manufacturer:","Dell Inc."
"Case Type:","Convertible"
"Version:","Unknown"
"Serial Number:","DK2W2P2"
"Asset Tag Number:","Unknown"

On Board Device

"Device Description:","""Intel HD Graphics"""
"Device Type:","Video Adapter"
"Device Status:","Enabled"

OEM Strings









System Configuration Options



System Event Log


Built-in Pointing Device

"Device Type:","Touch Pad"
"Interface Type:","Bus mouse"
"Number of Buttons:","2"

System Power Controls


System Boot Information

"Boot Status:","No error occured"

Management Device

"Device Description:","LM78-1"
"Device Type:","National Semiconductor LM78"
"Device Address:","I/O: 0"

Management Device Threshold Data


Management Device Component


Management Device Threshold Data


Management Device Component


Management Device Threshold Data


Management Device Component


Management Device Threshold Data


Management Device Component


Management Device Threshold Data


Management Device Component


Firmware Version Information

"BIOS Guard","2.0.0.4285"

Firmware Version Information

"Reference Code - CPU","7.0.72.64"
"uCode Version","0.0.0.174"
"TXT ACM version","1.5.0.0"

Firmware Version Information

"Reference Code - ME","7.0.72.64"
"MEBx version","0.0.0.0"
"ME Firmware Version","Consumer SKU"

Firmware Version Information

"Reference Code - CNL PCH","7.0.72.64"
"PCH-CRID Status","Disabled"
"PCH-CRID Original Value","0x30"
"PCH-CRID New Value","0x30"
"OPROM - RST - RAID","17.0.0.0"
"CNL PCH H A0 Hsio Version","2.0.0.0"
"CNL PCH H Ax Hsio Version","9.0.0.0"
"CNL PCH H Bx Hsio Version","10.0.0.0"
"CNL PCH LP B0 Hsio Version","7.0.0.0"
"CNL PCH LP Bx Hsio Version","6.0.0.0"
"CNL PCH LP Dx Hsio Version","7.0.0.0"

Firmware Version Information

"Reference Code - SA - System Agent","7.0.72.64"
"Reference Code - MRC","0.7.1.100"
"SA - PCIe Version","7.0.72.64"
"SA-CRID Status","Disabled"
"SA-CRID Original Value","0.0.0.11"
"SA-CRID New Value","0.0.0.11"
"OPROM - VBIOS",""

L1 Cache

"Socket Designation:","L1 Cache"
"Cache State:","Enabled"
"Cache Location:","Internal"
"Cache Type:","L1 Unified"
"Cache Scheme:","Write-Back"
"Supported SRAM Type:","Synchronous"
"Current SRAM Type:","Synchronous"
"Cache Speed:","Unknown"
"Error Correction Type:","Parity"
"Maximum Cache Size:","256 KBytes"
"Installed Cache Size:","256 KBytes"
"Cache Associativity:","8-way Set-Associative"

L2 Cache

"Socket Designation:","L2 Cache"
"Cache State:","Enabled"
"Cache Location:","Internal"
"Cache Type:","L2 Unified"
"Cache Scheme:","Write-Back"
"Supported SRAM Type:","Synchronous"
"Current SRAM Type:","Synchronous"
"Cache Speed:","Unknown"
"Error Correction Type:","Single-bit ECC"
"Maximum Cache Size:","1024 KBytes"
"Installed Cache Size:","1024 KBytes"
"Cache Associativity:","4-way Set-Associative"

L3 Cache

"Socket Designation:","L3 Cache"
"Cache State:","Enabled"
"Cache Location:","Internal"
"Cache Type:","L3 Unified"
"Cache Scheme:","Write-Back"
"Supported SRAM Type:","Synchronous"
"Current SRAM Type:","Synchronous"
"Cache Speed:","Unknown"
"Error Correction Type:","Multi-bit ECC"
"Maximum Cache Size:","8192 KBytes"
"Installed Cache Size:","8192 KBytes"
"Cache Associativity:","16-way Set-Associative"

Processor

"Processor Manufacturer:","Intel(R) Corporation"
"Processor Version:","Intel(R) Core(TM) i7-8565U CPU @ 1.80GHz"
"External Clock:","100 MHz"
"Maximum Clock Supported:","2000 MHz"
"Current Clock:","1800 MHz"
"CPU Socket:","Populated"
"CPU Status:","Enabled"
"Processor Type:","Central Processor"
"Processor Voltage:","0.6 V"
"Processor Upgrade:","Unknown (3C)"
"Socket Designation:","U3E1"

Portable Battery

"Battery Location:","Sys. Battery Bay"
"Battery Manufacturer:","SMP"
"Manufacture Date:","09/04/2018"
"Serial Number:","0733"
"Device Name:","DELL 39DY56B"
"Device Chemistry:","Unknown"
"Design Capacity:","37990 mWh"
"Design Voltage:","11400 mV"
"SBDS Verison Number:","1.0"
"Max. Error in Battery Data:","2"
"SBDS Serial Number:","1843"
"SBDS Manufacture Date:","9/4/34"
"SBDS Device Chemistry:","LiP"

TPM

"TPM Specification Version:","2.0"
"TPM Vendor:","CTNI"
"TPM Description:","INTEL"

Cooling Device

"Type:","Chip Fan"
"Description:","CPU Fan"
"Status:","OK"
"Nominal Speed:","6000 RPM"

Temperature Probe

"Description:","CPU Probe"
"Location:","Motherboard"
"Status:","OK"
"Maximum Value:","127.0 °C"
"Minimum Value:","-127.0 °C"
"Resolution:","1.000 °C"
"Tolerance:","Unknown"
"Accuracy:","Unknown"

Temperature Probe

"Description:","True Ambient"
"Location:","Motherboard"
"Status:","OK"
"Maximum Value:","127.0 °C"
"Minimum Value:","-127.0 °C"
"Resolution:","1.000 °C"
"Tolerance:","Unknown"
"Accuracy:","Unknown"

Temperature Probe

"Description:","Memory Module"
"Location:","Motherboard"
"Status:","OK"
"Maximum Value:","127.0 °C"
"Minimum Value:","-127.0 °C"
"Resolution:","1.000 °C"
"Tolerance:","Unknown"
"Accuracy:","Unknown"

Temperature Probe

"Description:","Other Probe"
"Location:","Processor"
"Status:","OK"
"Maximum Value:","127.0 °C"
"Minimum Value:","-127.0 °C"
"Resolution:","1.000 °C"
"Tolerance:","Unknown"
"Accuracy:","Unknown"

Intel vPro

"CPU VT-x Support:","Supported"
"CPU VT-x Status:","Enabled"
"CPU VT-x2 Support:","Not Supported"
"CPU VT-x2 Status:","Disabled"
"CPU TXT Support:","Not Supported"
"CPU TXT Status:","Disabled"
"CPU VMX Status:","Enabled"
"CPU SMX Status:","Disabled"
"Intel ME Status:","Enabled"
"Intel OST Firmware Support:","Not Supported"
"Intel ASF Firmware Support:","Not Supported"
"Intel AMT Pro Firmware Support:","Not Supported"
"Intel AMT Basic Firmware Support:","Not Supported"
"Intel TPM Firmware Support:","Not Supported"
"Intel Castle Peak Support:","Not Supported"
"Intel WoX Support:","Not Supported"
"Intel Virtualization Engine Support:","Not Supported"
"Intel Anti-Theft Technology Support:","Not Supported"
"TPM On-board:","Not Supported"
"Intel Anti-Theft Technology Enrolled:","Not Supported"
"Intel ME Version:","v12.0, Build 1427, Hotfix 35"
"BIOS VT-x Support:","Not Supported"
"BIOS VT-d Support:","Supported"
"BIOS TXT Support:","Not Supported"
"BIOS TPM Support:","Not Supported"
"BIOS ME Support:","Not Supported"
"BIOS VA Extensions Support:","Supported"
"Intel AT PBA For Recovery Support:","Not Supported"
"Intel AT WWAN Support:","Not Supported"

On Board Device

"Device Description:","Onboard - Other"
"Device Type:","Unknown"
"Device Status:","Enabled"

On Board Device

"Device Description:","Onboard - Video"
"Device Type:","Video Adapter"
"Device Status:","Enabled"

On Board Device

"Device Description:","Onboard - Other"
"Device Type:","Unknown"
"Device Status:","Enabled"

On Board Device

"Device Description:","Onboard - Other"
"Device Type:","Unknown"
"Device Status:","Enabled"

On Board Device

"Device Description:","Onboard - Other"
"Device Type:","Unknown"
"Device Status:","Enabled"

On Board Device

"Device Description:","Onboard - Other"
"Device Type:","Unknown"
"Device Status:","Enabled"

On Board Device

"Device Description:","Onboard - Other"
"Device Type:","Unknown"
"Device Status:","Enabled"

On Board Device

"Device Description:","Onboard - Other"
"Device Type:","Unknown"
"Device Status:","Enabled"

On Board Device

"Device Description:","Onboard - Ethernet"
"Device Type:","Ethernet Adapter"
"Device Status:","Enabled"

On Board Device

"Device Description:","Onboard - Other"
"Device Type:","Unknown"
"Device Status:","Enabled"

On Board Device

"Device Description:","Onboard - Other"
"Device Type:","Unknown"
"Device Status:","Enabled"

On Board Device

"Device Description:","Onboard - Other"
"Device Type:","Unknown"
"Device Status:","Enabled"

On Board Device

"Device Description:","Onboard - Other"
"Device Type:","Unknown"
"Device Status:","Enabled"

On Board Device

"Device Description:","Onboard - Other"
"Device Type:","Unknown"
"Device Status:","Enabled"

On Board Device

"Device Description:","Onboard - Sound"
"Device Type:","Audio Device"
"Device Status:","Enabled"

On Board Device

"Device Description:","Onboard - Other"
"Device Type:","Unknown"
"Device Status:","Enabled"

On Board Device

"Device Description:","Onboard - Other"
"Device Type:","Unknown"
"Device Status:","Enabled"

Firmware Version Information

"Lan Phy Version",""
"Sensor Firmware Version",""
"Debug Mode Status","Disabled"
"Performance Mode Status","Disabled"
"Debug Use USB(Disabled:Serial)","Disabled"
"ICC Overclocking Version","0.0.0.0"
"UNDI Version",""
"EC FW Version","0.0"
"GOP Version","0.9.0.4224"
"Royal Park Version","BP1.4.3.0_RP03"
"Platform Version","0.7.0.0"
"Client Silicon Version","0.2.0.14"

Group Associations


BIOS Language




Group Associations


Memory Devices


Physical Memory Array

"Array Location:","System board"
"Array Use:","System memory"
"Error Detecting Method:","None"
"Memory Capacity:","32 GBytes"
"Memory Devices:","2"

