
LAPTOP-3S3IK491

"Computer Name:","LAPTOP-3S3IK491"
"MOVDIRI: Direct Stores","Not Present"
"MOVDIR64B: Direct Stores","Not Present"
"ENQCMD: Enqueue Stores","Not Present"
"SGX Launch Configuration","Present"
"AVX-512 BFLOAT16 Instructions","Not Present"
"Thermal Monitor 1:","Supported, Enabled"
"Thermal Monitor 2:","Supported, Enabled"
"Enhanced Intel SpeedStep (GV3):","Supported, Enabled"
"Bi-directional PROCHOT#:","Enabled"
"Extended Auto-HALT State C1E:","Enabled"
"MLC Streamer Prefetcher","Supported, Enabled"
"MLC Spatial Prefetcher","Supported, Enabled"
"DCU Streamer Prefetcher","Supported, Enabled"
"DCU IP Prefetcher","Supported, Enabled"
"Intel Dynamic Acceleration (IDA) Technology:","Not Supported"
"Intel Dynamic FSB Switching:","Not Supported"
"Intel Turbo Boost Technology:","Supported, Enabled"
"Programmable Ratio Limits:","Supported, Disabled"
"Programmable TDC/TDP Limits:","Supported, Disabled"
"Hardware Duty Cycling:","Supported, Enabled"
"NVME:","Not Supported"
"DMI x4:","Supported"
"DRAM ECC:","Not Supported"
"VT-d:","Supported"
"DMI in Gen2 Mode:","Supported"
"PEG in Gen2 Mode:","Supported"
"1N Mode DDR Timings:","Supported"
"Camarillo Device:","Supported"
"2 DIMMs per Channel:","Not Supported"
"X2APIC:","Supported"
"Dual Memory Channel:","Supported"
"Integrated GPU:","Enabled"
"DDR Overclocking:","Disabled"
"Maximum Memory Size per Channel:","64 GB (unlimited)"
"IMGU Device:","Supported"
"Northpeak Device:","Supported"
"Overclocking:","Disabled"
"SMT:","Supported"
"Additive Graphics:","Supported"
"Additive Graphics:","Enabled"
"PCIe Gen 3:","Supported"
"DMI Gen 3:","Supported"
"HDCP:","Supported"
"L Technology:","1LM"
"VMD:","Not Supported"
"PCIe Gen 4:","Supported"
"BCLK OC Limit:","100 MHz"
"DDR4:","Supported"
"LPDDR4:","Supported"
"Maximum Supported DDR4 Frequency:","1600 MHz"
"Maximum Supported LPDDR4 Frequency:","1867 MHz"
"Secure Enclave (SGX):","Supported"
"SVID Status:","Enabled"
"VCC VR:","Monolithic Pwr Sys (0x40), IMVP9"
"VR Thermal Sensor:","Not Supported"
"Maximum Physical Address Size:","39-bit (512 GBytes)"
"Maximum Virtual Address Size:","48-bit (256 TBytes)"
"Range 80000000-100000000 (2048MB-4096MB) Type:","Uncacheable (UC)"
"Range 40000000-80000000 (1024MB-2048MB) Type:","Uncacheable (UC)"
"Range 2000000000-4000000000 (131072MB-262144MB) Type:","Uncacheable (UC)"
"Range 1000000000-2000000000 (65536MB-131072MB) Type:","Uncacheable (UC)"
"Range 800000000-1000000000 (32768MB-65536MB) Type:","Uncacheable (UC)"
"Range 400000000-800000000 (16384MB-32768MB) Type:","Uncacheable (UC)"
"Range 4000000000-8000000000 (262144MB-524288MB) Type:","Uncacheable (UC)"

Motherboard

"Computer Brand Name:","LENOVO Lenovo Yoga S740-14IIL"
"Motherboard Model:","LENOVO LNVNB161216"
"Motherboard Chipset:","Intel 495 (Ice Lake-U PCH-LP Premium)"
"Motherboard Slots:","4xPCI Express x1, 2xPCI Express x4"
"PCI Express Version Supported:","v3.0"
"USB Version Supported:","v3.1"
"BIOS Manufacturer:","LENOVO"
"BIOS Date:","08/11/2019"
"BIOS Version:","BYCN26WW"
"UEFI BIOS:","Capable"
"Super-IO/LPC Chip:","Unknown"

ACPI Devices


Intel(R) Software Guard Extensions Device

"Device Name:","Intel(R) Software Guard Extensions Device"
"Memory Location:","30180000 - 3BD7FFFF"
"Memory Location:","30180000 - 3BD7FFFF"

Intel(R) Serial IO GPIO Host Controller - INT3455

"Device Name:","Intel(R) Serial IO GPIO Host Controller - INT3455"
"Memory Location:","FD6E0000 - FD6EFFFF"
"Memory Location:","FD6E0000 - FD6EFFFF"
"Memory Location:","FD6D0000 - FD6DFFFF"
"Memory Location:","FD6A0000 - FD6AFFFF"
"Memory Location:","FD690000 - FD69FFFF"
"IRQ:","14"

Motherboard resources

"Device Name:","Motherboard resources"
"I/O Port:","1854 - 1857"
"I/O Port:","1854 - 1857"

Trusted Platform Module 2.0

"Device Name:","Trusted Platform Module 2.0"
"Memory Location:","FED40000 - FED44FFF"
"Memory Location:","FED40000 - FED44FFF"

Standard PS/2 Keyboard

"Device Name:","Standard PS/2 Keyboard"
"I/O Port:","0060"
"I/O Port:","0000"
"I/O Port:","0060"
"I/O Port:","0064"
"IRQ:","1"

I2C HID Device

"Device Name:","I2C HID Device"
"IRQ:","48"

Programmable interrupt controller

"Device Name:","Programmable interrupt controller"
"I/O Port:","0020 - 0021"
"I/O Port:","0030 - 0031"
"I/O Port:","00A0 - 00A1"
"I/O Port:","00B0 - 00B1"
"IRQ:","1114369"
"IRQ:","1114369"
"IRQ:","1114369"
"IRQ:","1114369"
"I/O Port:","0020 - 0021"
"I/O Port:","0024 - 0025"
"I/O Port:","0028 - 0029"
"I/O Port:","002C - 002D"
"I/O Port:","0030 - 0031"
"I/O Port:","0034 - 0035"
"I/O Port:","0038 - 0039"
"I/O Port:","003C - 003D"
"I/O Port:","00A0 - 00A1"
"I/O Port:","00A4 - 00A5"
"I/O Port:","00A8 - 00A9"
"I/O Port:","00AC - 00AD"
"I/O Port:","00B0 - 00B1"
"I/O Port:","00B4 - 00B5"
"I/O Port:","00B8 - 00B9"
"I/O Port:","00BC - 00BD"
"I/O Port:","04D0 - 04D1"

System timer

"Device Name:","System timer"
"I/O Port:","0040 - 0043"
"DMA:","0"
"I/O Port:","0040 - 0043"
"I/O Port:","0050 - 0053"
"IRQ:","0"

High precision event timer

"Device Name:","High precision event timer"
"Memory Location:","FED00000 - FED003FF"
"Memory Location:","FED00000 - FED003FF"

PCI Express Root Complex

"Device Name:","PCI Express Root Complex"
"I/O Port:","0000 - FFFFFFFF"
"Memory Location:","000A0000 - 000BFFFF"
"I/O Port:","0000 - 0CF7"
"I/O Port:","0D00 - FFFF"
"Memory Location:","000A0000 - 000BFFFF"
"Memory Location:","45400000 - BFFFFFFF"

Motherboard resources

"Device Name:","Motherboard resources"
"Memory Location:","FED10000 - FED17FFF"
"Memory Location:","FED20000 - FED7FFFF"
"Memory Location:","FED10000 - FED17FFF"
"Memory Location:","FEDA0000 - FEDA0FFF"
"Memory Location:","FEDA1000 - FEDA1FFF"
"Memory Location:","C0000000 - CFFFFFFF"
"Memory Location:","FED20000 - FED7FFFF"
"Memory Location:","FED90000 - FED93FFF"
"Memory Location:","FEE00000 - FEEFFFFF"

Motherboard resources

"Device Name:","Motherboard resources"
"I/O Port:","002E - 002F"
"I/O Port:","0065"
"I/O Port:","0000 - 006F"
"I/O Port:","0092"
"IRQ:","1114369"
"I/O Port:","002E - 002F"
"I/O Port:","004E - 004F"
"I/O Port:","0061"
"I/O Port:","0063"
"I/O Port:","0065"
"I/O Port:","0067"
"I/O Port:","0070"
"I/O Port:","0080"
"I/O Port:","0092"
"I/O Port:","00B2 - 00B3"
"I/O Port:","0680 - 069F"
"I/O Port:","164E - 164F"

Motherboard resources

"Device Name:","Motherboard resources"
"Memory Location:","FE038000 - FE038FFF"
"Memory Location:","FE038000 - FE038FFF"

Motherboard resources

"Device Name:","Motherboard resources"
"I/O Port:","2000 - 20FE"
"I/O Port:","2000 - 20FE"

Motherboard resources

"Device Name:","Motherboard resources"
"Memory Location:","FD000000 - FD68FFFF"
"Memory Location:","FE200000 - FE7FFFFF"
"I/O Port:","1800 - 18FE"
"Memory Location:","FD000000 - FD68FFFF"
"Memory Location:","FD6B0000 - FD6CFFFF"
"Memory Location:","FD6F0000 - FDFFFFFF"
"Memory Location:","FE000000 - FE01FFFF"
"Memory Location:","FE200000 - FE7FFFFF"
"Memory Location:","FF000000 - FFFFFFFF"

Microsoft ACPI-Compliant Embedded Controller

"Device Name:","Microsoft ACPI-Compliant Embedded Controller"
"I/O Port:","0062"
"I/O Port:","0062"
"I/O Port:","0066"

UCM-UCSI ACPI Device

"Device Name:","UCM-UCSI ACPI Device"
"Memory Location:","2BB73000 - 2BB73FFF"
"Memory Location:","2BB73000 - 2BB73FFF"

SMBIOS DMI


BIOS

"BIOS Vendor:","LENOVO"
"BIOS Version:","BYCN26WW"
"BIOS Release Date:","08/11/2019"
"BIOS Start Segment:","E000"
"BIOS Size:","0 MBytes"
"System BIOS Version:","1.26"
"Embedded Controller Firmware Version:","1.26"
"ISA Support:","Not Present"
"MCA Support:","Not Present"
"EISA Support:","Not Present"
"PCI Support:","Present"
"PC Card (PCMCIA) Support:","Not Present"
"Plug-and-Play Support:","Not Present"
"APM Support:","Not Present"
"Flash BIOS:","Present"
"BIOS Shadow:","Present"
"VL-VESA Support:","Not Present"
"ESCD Support:","Not Present"
"Boot from CD:","Present"
"Selectable Boot:","Present"
"BIOS ROM Socketed:","Not Present"
"Boot from PC Card:","Not Present"
"EDD Support:","Present"
"NEC PC-98 Support:","Not Present"
"ACPI Support:","Present"
"USB Legacy Support:","Present"
"AGP Support:","Not Present"
"I2O Boot Support:","Not Present"
"LS-120 Boot Support:","Not Present"
"ATAPI ZIP Drive Boot Support:","Not Present"
"IEE1394 Boot Support:","Not Present"
"Smart Battery Support:","Not Present"
"BIOS Boot Specification Support:","Present"
"Function key-initiated Network Service Boot Support:","Not Present"
"Targeted Content Distribution Support:","Present"
"UEFI Specification Support:","Present"
"Virtual Machine:","Not Present"

System

"System Manufacturer:","LENOVO"
"Product Name:","81RS"
"Product Version:","Lenovo Yoga S740-14IIL"
"Product Serial Number:","PF1335DS"
"UUID:","{09AE1379-DAB4-11E9-80D8-98FA9BD736B1}"
"SKU Number:","LENOVO_MT_81RS_BU_idea_FM_Yoga S740-14IIL"
"Family:","Yoga S740-14IIL"

Mainboard

"Mainboard Manufacturer:","LENOVO"
"Mainboard Name:","LNVNB161216"
"Mainboard Version:","SDK0J40709 WIN"
"Mainboard Serial Number:","PF1335DS"
"Asset Tag:","NO Asset Tag"
"Location in chassis:","Type2 - Board Chassis Location"

System Enclosure

"Manufacturer:","LENOVO"
"Case Type:","Notebook"
"Version:","Lenovo Yoga S740-14IIL"
"Serial Number:","PF1335DS"
"Asset Tag Number:","NO Asset Tag"

Processor

"Processor Manufacturer:","Intel(R) Corporation"
"Processor Version:","Intel(R) Core(TM) i7-1065G7 CPU @ 1.30GHz"
"External Clock:","100 MHz"
"Maximum Clock Supported:","8300 MHz"
"Current Clock:","1300 MHz"
"CPU Socket:","Populated"
"CPU Status:","Enabled"
"Processor Type:","Central Processor"
"Processor Voltage:","0.7 V"
"Processor Upgrade:","Unknown (1)"
"Socket Designation:","U3E1"

L1 Cache

"Socket Designation:","L1 Cache"
"Cache State:","Enabled"
"Cache Location:","Internal"
"Cache Type:","L1 Data"
"Cache Scheme:","Write-Back"
"Supported SRAM Type:","Synchronous"
"Current SRAM Type:","Synchronous"
"Cache Speed:","Unknown"
"Error Correction Type:","Parity"
"Maximum Cache Size:","192 KBytes"
"Installed Cache Size:","192 KBytes"
"Cache Associativity:","12-way Set-Associative"

L1 Cache

"Socket Designation:","L1 Cache"
"Cache State:","Enabled"
"Cache Location:","Internal"
"Cache Type:","L1 Instruction"
"Cache Scheme:","Write-Back"
"Supported SRAM Type:","Synchronous"
"Current SRAM Type:","Synchronous"
"Cache Speed:","Unknown"
"Error Correction Type:","Parity"
"Maximum Cache Size:","128 KBytes"
"Installed Cache Size:","128 KBytes"
"Cache Associativity:","8-way Set-Associative"

L2 Cache

"Socket Designation:","L2 Cache"
"Cache State:","Enabled"
"Cache Location:","Internal"
"Cache Type:","L2 Unified"
"Cache Scheme:","Write-Back"
"Supported SRAM Type:","Synchronous"
"Current SRAM Type:","Synchronous"
"Cache Speed:","Unknown"
"Error Correction Type:","Single-bit ECC"
"Maximum Cache Size:","2048 KBytes"
"Installed Cache Size:","2048 KBytes"
"Cache Associativity:","8-way Set-Associative"

L3 Cache

"Socket Designation:","L3 Cache"
"Cache State:","Enabled"
"Cache Location:","Internal"
"Cache Type:","L3 Unified"
"Cache Scheme:","Write-Back"
"Supported SRAM Type:","Synchronous"
"Current SRAM Type:","Synchronous"
"Cache Speed:","Unknown"
"Error Correction Type:","Multi-bit ECC"
"Maximum Cache Size:","8192 KBytes"
"Installed Cache Size:","8192 KBytes"
"Cache Associativity:","16-way Set-Associative"

OEM Strings





System Configuration Options





BIOS Language










Group Associations


Group Associations


Group Associations


System Event Log


Built-in Pointing Device

"Device Type:","Touch Pad"
"Interface Type:","PS/2"
"Number of Buttons:","4"

Portable Battery

"Battery Location:","Fake"
"Battery Manufacturer:","-Virtual Battery 0-"
"Manufacture Date:","08/08/2010"
"Serial Number:","Battery 0"
"Device Name:","CRB Battery 0"
"Device Chemistry:","Zinc Air"
"Design Capacity:","Unknown"
"Design Voltage:","Unknown"
"SBDS Verison Number:","Unknown"
"Max. Error in Battery Data:","Unknown"
"SBDS Serial Number:","Unknown"
"SBDS Manufacture Date:","Unknown"
"SBDS Device Chemistry:","LithiumPolymer"

Hardware Security

"Power-on Password:","Disabled"
"Keyboard Password:","Disabled"
"Administrator Password:","Disabled"
"Front Panel Reset:","Disabled"

Voltage Probe

"Description:","Voltage Probe Description"
"Location:","Unknown"
"Status:","Unknown"
"Maximum Value:","Unknown"
"Minimum Value:","Unknown"
"Resolution:","Unknown"
"Tolerance:","Unknown"
"Accuracy:","Unknown"

Cooling Device

"Type:","Fan"
"Description:","Cooling Device Description"
"Status:","OK"
"Nominal Speed:","8192 RPM"

Temperature Probe

"Description:","Temperature Probe Description"
"Location:","Unknown"
"Status:","Unknown"
"Maximum Value:","Unknown"
"Minimum Value:","Unknown"
"Resolution:","Unknown"
"Tolerance:","Unknown"
"Accuracy:","Unknown"

System Boot Information

"Boot Status:","No error occured"

System Power Supply

"Location:","OEM Define 0"
"Device Name:","OEM Define 1"
"Manufacturer:","OEM Define 2"
"Serial Number:","OEM Define 3"
"Asset Tag Number:","OEM Define 4"
"Model Part Number:","OEM Define 5"
"Revision Level:","OEM Define 6"
"Max Power Capacity:","75 mW"
"Power Supply Status:","Not Present"
"Power Supply Type:","Regulator"
"Power Status:","OK"
"Hot replaceable:","No"
"Unplugged from wall:","Yes"

Additional Information




On Board Device

"Device Description:","IGD"
"Device Type:","Video Adapter"
"Device Status:","Disabled"

TPM

"TPM Specification Version:","2.0"
"TPM Vendor:","Intel"
"TPM Description:","TPM 2.0, ManufacturerID: INTC, Firmware Version: 0x01F40005.0x0"

Intel ASF

"Intel ASF Status:","Enabled"

Intel AMT

"Intel AMT Support:","Supported"
"Intel AMT Status:","Enabled"
"IDE-R Status:","Enabled"
"SOL Status:","Enabled"
"Network Interface:","Enabled"

Intel vPro

"CPU VT-x Support:","Supported"
"CPU VT-x Status:","Enabled"
"CPU VT-x2 Support:","Not Supported"
"CPU VT-x2 Status:","Disabled"
"CPU TXT Support:","Not Supported"
"CPU TXT Status:","Disabled"
"CPU VMX Status:","Enabled"
"CPU SMX Status:","Disabled"
"Intel ME Status:","Enabled"
"Intel OST Firmware Support:","Not Supported"
"Intel ASF Firmware Support:","Not Supported"
"Intel AMT Pro Firmware Support:","Not Supported"
"Intel AMT Basic Firmware Support:","Not Supported"
"Intel TPM Firmware Support:","Not Supported"
"Intel Castle Peak Support:","Not Supported"
"Intel WoX Support:","Not Supported"
"Intel Virtualization Engine Support:","Not Supported"
"Intel Anti-Theft Technology Support:","Not Supported"
"TPM On-board:","Not Supported"
"Intel Anti-Theft Technology Enrolled:","Not Supported"
"Intel ME Version:","v13.0, Build 1085, Hotfix 0"
"BIOS VT-x Support:","Not Supported"
"BIOS VT-d Support:","Supported"
"BIOS TXT Support:","Supported"
"BIOS TPM Support:","Not Supported"
"BIOS ME Support:","Not Supported"
"BIOS VA Extensions Support:","Supported"
"Intel AT PBA For Recovery Support:","Not Supported"
"Intel AT WWAN Support:","Not Supported"

Memory Devices


Physical Memory Array

"Array Location:","System board"
"Array Use:","System memory"
"Error Detecting Method:","None"
"Memory Capacity:","8 GBytes"
"Memory Devices:","2"

Memory Device

"Total Width:","32 bits"
"Data Width:","32 bits"
"Device Size:","4096 MBytes"
"Device Form Factor:","Row of chips"
"Device Locator:","ChannelA-DIMM0"
"Bank Locator:","BANK 0"
"Device Type:","LPDDR4"
"Device Type Detail:","Synchronous"
"Memory Speed:","3733 MHz"
"Manufacturer:","Micron"
"Serial Number:","00000000"
"Part Number:","                    "
"Asset Tag:","9876543210"

Memory Device

"Total Width:","32 bits"
"Data Width:","32 bits"
"Device Size:","4096 MBytes"
"Device Form Factor:","Row of chips"
"Device Locator:","ChannelB-DIMM0"
"Bank Locator:","BANK 2"
"Device Type:","LPDDR4"
"Device Type Detail:","Synchronous"
"Memory Speed:","3733 MHz"
"Manufacturer:","Micron"
"Serial Number:","00000000"
"Part Number:","                    "
"Asset Tag:","9876543210"

Memory Array Mapped Address

"Starting Address:","00000000"
"Ending Address:","007FFFFF"
"Partition Width:","2"

Memory Device Mapped Address

"Starting Address:","00000000"
"Ending Address:","003FFFFF"
"Partition Row Position:","Unknown"
"Interleave Position:","1"
"Interleave Data Depth:","1"

Memory Device Mapped Address

"Starting Address:","00000000"
"Ending Address:","003FFFFF"
"Partition Row Position:","Unknown"
"Interleave Position:","2"
"Interleave Data Depth:","1"

Port Connectors


Keyboard Port

"Port Type:","Keyboard Port"
"Internal Reference:","J1A1"
"Internal Connector Type:","None"
"External Reference:","Keyboard"
"External Connector Type:","PS/2"

Mouse Port

"Port Type:","Mouse Port"
"Internal Reference:","J1A1"
"Internal Connector Type:","None"
"External Reference:","Mouse"
"External Connector Type:","PS/2"

Video Port

"Port Type:","Video Port"
"Internal Reference:","J2A1"
"Internal Connector Type:","None"
"External Reference:","TV OUT"
"External Connector Type:","Mini-DIN"

Video Port

"Port Type:","Video Port"
"Internal Reference:","J2A2"
"Internal Connector Type:","None"
"External Reference:","CRT"
"External Connector Type:","DB-15 pin female"

Serial Port 16550A Compatible

"Port Type:","Serial Port 16550A Compatible"
"Internal Reference:","J2A2"
"Internal Connector Type:","None"
"External Reference:","COM 1"
"External Connector Type:","DB-9 pin male"

USB

"Port Type:","USB"
"Internal Reference:","J3A1"
"Internal Connector Type:","None"
"External Reference:","USB"
"External Connector Type:","Access Bus (USB)"

USB

"Port Type:","USB"
"Internal Reference:","J3A1"
"Internal Connector Type:","None"
"External Reference:","USB"
"External Connector Type:","Access Bus (USB)"

USB

"Port Type:","USB"
"Internal Reference:","J3A1"
"Internal Connector Type:","None"
"External Reference:","USB"
"External Connector Type:","Access Bus (USB)"

USB

"Port Type:","USB"
"Internal Reference:","J5A1"
"Internal Connector Type:","None"
"External Reference:","USB"
"External Connector Type:","Access Bus (USB)"

USB

"Port Type:","USB"
"Internal Reference:","J5A1"
"Internal Connector Type:","None"
"External Reference:","USB"
"External Connector Type:","Access Bus (USB)"

USB

"Port Type:","USB"
"Internal Reference:","J5A2"
"Internal Connector Type:","None"
"External Reference:","USB"
"External Connector Type:","Access Bus (USB)"

Network Port

"Port Type:","Network Port"
"Internal Reference:","J5A1"
"Internal Connector Type:","None"
"External Reference:","Network"
"External Connector Type:","RJ-45"

Port Connector

"Port Type:","Unknown"
"Internal Reference:","J9G2"
"Internal Connector Type:","On Board Floppy"
"External Reference:","OnBoard Floppy Type"
"External Connector Type:","None"

Port Connector

"Port Type:","Unknown"
"Internal Reference:","J7J1"
